/I1/IN (VY=-0.1) X,/I1/IN (VY=-0.1) Y,/I1/IN (VY=-0.08947368) X,/I1/IN (VY=-0.08947368) Y,/I1/IN (VY=-0.07894737) X,/I1/IN (VY=-0.07894737) Y,/I1/IN (VY=-0.06842105) X,/I1/IN (VY=-0.06842105) Y,/I1/IN (VY=-0.05789474) X,/I1/IN (VY=-0.05789474) Y,/I1/IN (VY=-0.04736842) X,/I1/IN (VY=-0.04736842) Y,/I1/IN (VY=-0.03684211) X,/I1/IN (VY=-0.03684211) Y,/I1/IN (VY=-0.02631579) X,/I1/IN (VY=-0.02631579) Y,/I1/IN (VY=-0.01578947) X,/I1/IN (VY=-0.01578947) Y,/I1/IN (VY=-0.005263158) X,/I1/IN (VY=-0.005263158) Y,/I1/IN (VY=0.005263158) X,/I1/IN (VY=0.005263158) Y,/I1/IN (VY=0.01578947) X,/I1/IN (VY=0.01578947) Y,/I1/IN (VY=0.02631579) X,/I1/IN (VY=0.02631579) Y,/I1/IN (VY=0.03684211) X,/I1/IN (VY=0.03684211) Y,/I1/IN (VY=0.04736842) X,/I1/IN (VY=0.04736842) Y,/I1/IN (VY=0.05789474) X,/I1/IN (VY=0.05789474) Y,/I1/IN (VY=0.06842105) X,/I1/IN (VY=0.06842105) Y,/I1/IN (VY=0.07894737) X,/I1/IN (VY=0.07894737) Y,/I1/IN (VY=0.08947368) X,/I1/IN (VY=0.08947368) Y,/I1/IN (VY=0.1) X,/I1/IN (VY=0.1) Y
0,-3.577476088093424e-10,0,-3.573079451022727e-10,0,-3.571490118257635e-10,0,-3.573452861829872e-10,0,-3.579519631091412e-10,0,-3.590178267904668e-10,0,-3.605433655215528e-10,0,-3.627948857130858e-10,0,-3.658749504807744e-10,0,-3.700819543920691e-10,0,-3.757966272430421e-10,0,-3.834846866208349e-10,0,-3.934367738623657e-10,0,-4.057675023628389e-10,0,-4.206253381188142e-10,0,-4.37954042885555e-10,0,-4.574392941022467e-10,0,-4.785011618909491e-10,0,-5.003590264083331e-10,0,-5.219160870005765e-10
1e-06,-3.577509088974434e-10,1e-06,-3.573041267153972e-10,1e-06,-3.571379156667178e-10,1e-06,-3.573265650400369e-10,1e-06,-3.579252440450553e-10,1e-06,-3.589828137121154e-10,1e-06,-3.605631183247217e-10,1e-06,-3.627796443168746e-10,1e-06,-3.658304330883033e-10,1e-06,-3.70013040964979e-10,1e-06,-3.757082494697949e-10,1e-06,-3.833816234733765e-10,1e-06,-3.933231519862053e-10,1e-06,-4.056447007071624e-10,1e-06,-4.204923574833416e-10,1e-06,-4.378087193147314e-10,1e-06,-4.572766764202886e-10,1e-06,-4.783158830797936e-10,1e-06,-5.001479981129795e-10,1e-06,-5.218788912302788e-10
2.861263013676965e-06,-3.577543490652852e-10,2.861263013676965e-06,-3.57287846842411e-10,2.86126301367703e-06,-3.570997693169255e-10,2.861263013677094e-06,-3.572645734855217e-10,2.861263013677159e-06,-3.578377234290407e-10,2.861263013677159e-06,-3.588685209981889e-10,2.861263013677223e-06,-3.604208212111796e-10,2.861263013677288e-06,-3.626088630112235e-10,2.861263013677352e-06,-3.656325183262837e-10,2.861263013677352e-06,-3.69790306164295e-10,2.861263013677417e-06,-3.754640661832694e-10,2.861263013677417e-06,-3.831204893694146e-10,2.861263013677482e-06,-3.93055133135081e-10,2.861263013677482e-06,-4.053771095573273e-10,2.861263013677482e-06,-4.20232844715309e-10,2.861263013677482e-06,-4.375649900650588e-10,2.861263013677482e-06,-4.570551261292062e-10,2.861263013677546e-06,-4.781207435225392e-10,2.861263013677482e-06,-4.999807872362116e-10,2.861263013677482e-06,-5.217732419087822e-10
4.968989759853665e-06,-3.57758595964229e-10,4.968989759853647e-06,-3.572680946541684e-10,4.968989759853691e-06,-3.57053332711288e-10,4.968989759854081e-06,-3.571889661510524e-10,4.968989759853924e-06,-3.577308192951805e-10,4.968989759853905e-06,-3.587287311873132e-10,4.968989759853948e-06,-3.602472023227635e-10,4.968989759854284e-06,-3.624012921835474e-10,4.96898975985442e-06,-3.653921678951881e-10,4.96898975985442e-06,-3.695196041526366e-10,4.968989759854683e-06,-3.751668608044311e-10,4.968989759854683e-06,-3.828022719129407e-10,4.968989759854818e-06,-3.927288820074844e-10,4.968989759854818e-06,-4.050526277629365e-10,4.968989759854837e-06,-4.199205679103885e-10,4.968989759854837e-06,-4.372755330870377e-10,4.968989759854782e-06,-4.567980207402441e-10,4.968989759854916e-06,-4.779031458420597e-10,4.968989759854874e-06,-4.998065290552026e-10,4.968989759854891e-06,-5.21648076927674e-10
9.184443252207066e-06,-3.577690972258193e-10,9.184443252207012e-06,-3.572288007870098e-10,9.184443252207012e-06,-3.569586006679448e-10,9.184443252208055e-06,-3.570335467648207e-10,9.184443252207452e-06,-3.575101956843278e-10,9.184443252207398e-06,-3.584394907705706e-10,9.184443252207398e-06,-3.598875036031879e-10,9.184443252208277e-06,-3.619711106157099e-10,9.184443252208555e-06,-3.648936564030271e-10,9.184443252208555e-06,-3.689575996958812e-10,9.184443252209214e-06,-3.745492536997821e-10,9.184443252209214e-06,-3.821405356498442e-10,9.18444325220949e-06,-3.920503860701222e-10,9.18444325220949e-06,-4.043786555486444e-10,9.184443252209546e-06,-4.192734905084408e-10,9.184443252209546e-06,-4.366781136386565e-10,9.18444325220938e-06,-4.562709089938217e-10,9.184443252209656e-06,-4.774620475849574e-10,9.184443252209658e-06,-4.99460142014202e-10,9.184443252209709e-06,-5.213937015227669e-10
1.761535023691387e-05,-3.577962319948685e-10,1.761535023691374e-05,-3.571557824381411e-10,1.761535023691366e-05,-3.567741512579957e-10,1.7615350236916e-05,-3.567271806103013e-10,1.761535023691451e-05,-3.570728991595758e-10,1.761535023691438e-05,-3.578644430034437e-10,1.76153502369143e-05,-3.591707249364264e-10,1.761535023691626e-05,-3.611124237018806e-10,1.761535023691683e-05,-3.638974670600677e-10,1.761535023691683e-05,-3.67833659224527e-10,1.761535023691828e-05,-3.733133862087813e-10,1.761535023691828e-05,-3.808156468230385e-10,1.761535023691883e-05,-3.906895547197639e-10,1.761535023691883e-05,-4.030257540619708e-10,1.761535023691896e-05,-4.179731879963961e-10,1.761535023691896e-05,-4.354759020660305e-10,1.761535023691858e-05,-4.552079296258721e-10,1.761535023691914e-05,-4.765694404473574e-10,1.761535023691923e-05,-4.987549237729186e-10,1.761535023691934e-05,-5.208812181242825e-10
3.447716420632747e-05,-3.578773844615032e-10,3.447716420632719e-05,-3.570297766846391e-10,3.447716420632694e-05,-3.564177580940586e-10,3.44771642063319e-05,-3.561187776349579e-10,3.447716420632862e-05,-3.561938809877357e-10,3.447716420632836e-05,-3.567006480423346e-10,3.44771642063281e-05,-3.577140737733775e-10,3.447716420633224e-05,-3.593623436546857e-10,3.447716420633337e-05,-3.618626307584238e-10,3.447716420633337e-05,-3.65533758275497e-10,3.44771642063364e-05,-3.707806342718505e-10,3.44771642063364e-05,-3.780969447817705e-10,3.447716420633752e-05,-3.878884216461403e-10,3.447716420633752e-05,-4.002390818428766e-10,3.447716420633781e-05,-4.152941525328201e-10,3.447716420633781e-05,-4.329996018062079e-10,3.447716420633697e-05,-4.530206540335503e-10,3.44771642063381e-05,-4.747366073352853e-10,3.447716420633836e-05,-4.973123342387187e-10,3.447716420633862e-05,-5.198298053414455e-10
5.447716420632746e-05,-3.580235234000573e-10,5.447716420632719e-05,-3.569202277863482e-10,5.447716420632695e-05,-3.560240854041581e-10,5.44771642063319e-05,-3.554144984704787e-10,5.447716420632863e-05,-3.551562020553659e-10,5.447716420632836e-05,-3.553121075352661e-10,5.44771642063281e-05,-3.559643247064742e-10,5.447716420633223e-05,-3.57250314790791e-10,5.447716420633337e-05,-3.593986312819141e-10,5.447716420633337e-05,-3.627415455469137e-10,5.447716420633641e-05,-3.67699215686278e-10,5.447716420633641e-05,-3.747832729317924e-10,5.447716420633752e-05,-3.844579244690731e-10,5.447716420633752e-05,-3.968217720222325e-10,5.44771642063378e-05,-4.120054062013777e-10,5.44771642063378e-05,-4.299575904982432e-10,5.447716420633696e-05,-4.503326898984335e-10,5.44771642063381e-05,-4.724839144675907e-10,5.447716420633836e-05,-4.955389925924883e-10,5.447716420633862e-05,-5.185433232011506e-10
7.447716420632746e-05,-3.582287762093644e-10,7.447716420632719e-05,-3.568580313001347e-10,7.447716420632695e-05,-3.556649066638188e-10,7.447716420633189e-05,-3.547308309990584e-10,7.447716420632863e-05,-3.541243671951935e-10,7.447716420632836e-05,-3.53913867693859e-10,7.44771642063281e-05,-3.541889178969581e-10,7.447716420633223e-05,-3.550962938393548e-10,7.447716420633337e-05,-3.568762546720844e-10,7.447716420633337e-05,-3.598749975819799e-10,7.447716420633641e-05,-3.645284156177843e-10,7.447716420633641e-05,-3.713667658636264e-10,7.447716420633752e-05,-3.809024303095428e-10,7.447716420633752e-05,-3.93275425332087e-10,7.44771642063378e-05,-4.085895956013855e-10,7.44771642063378e-05,-4.2679717168617e-10,7.447716420633696e-05,-4.475413643273642e-10,7.44771642063381e-05,-4.701478255606771e-10,7.447716420633836e-05,-4.937047587479773e-10,7.447716420633862e-05,-5.17212381246107e-10
9.447716420632746e-05,-3.584979170000216e-10,9.447716420632719e-05,-3.568489742516538e-10,9.447716420632695e-05,-3.55347145545604e-10,9.447716420633189e-05,-3.540759881676343e-10,9.447716420632863e-05,-3.531080201868164e-10,9.447716420632835e-05,-3.525171489490562e-10,9.44771642063281e-05,-3.524003771400147e-10,9.447716420633223e-05,-3.529142111241881e-10,9.447716420633337e-05,-3.543110247187801e-10,9.447716420633337e-05,-3.569513195509418e-10,9.44771642063364e-05,-3.612870519355373e-10,9.44771642063364e-05,-3.678675354616517e-10,9.447716420633752e-05,-3.772409439997979e-10,9.447716420633752e-05,-3.89618136370222e-10,9.44771642063378e-05,-4.050628698347026e-10,9.44771642063378e-05,-4.235315263284918e-10,9.447716420633696e-05,-4.446558368803803e-10,9.44771642063381e-05,-4.677325383933109e-10,9.447716420633836e-05,-4.918081412783311e-10,9.447716420633861e-05,-5.15841410894785e-10
