/I1/IN (VY=-0.1) X,/I1/IN (VY=-0.1) Y,/I1/IN (VY=-0.08947368) X,/I1/IN (VY=-0.08947368) Y,/I1/IN (VY=-0.07894737) X,/I1/IN (VY=-0.07894737) Y,/I1/IN (VY=-0.06842105) X,/I1/IN (VY=-0.06842105) Y,/I1/IN (VY=-0.05789474) X,/I1/IN (VY=-0.05789474) Y,/I1/IN (VY=-0.04736842) X,/I1/IN (VY=-0.04736842) Y,/I1/IN (VY=-0.03684211) X,/I1/IN (VY=-0.03684211) Y,/I1/IN (VY=-0.01578947) X,/I1/IN (VY=-0.01578947) Y,/I1/IN (VY=-0.005263158) X,/I1/IN (VY=-0.005263158) Y,/I1/IN (VY=0.005263158) X,/I1/IN (VY=0.005263158) Y,/I1/IN (VY=0.01578947) X,/I1/IN (VY=0.01578947) Y,/I1/IN (VY=0.02631579) X,/I1/IN (VY=0.02631579) Y,/I1/IN (VY=0.03684211) X,/I1/IN (VY=0.03684211) Y,/I1/IN (VY=0.04736842) X,/I1/IN (VY=0.04736842) Y,/I1/IN (VY=0.05789474) X,/I1/IN (VY=0.05789474) Y,/I1/IN (VY=0.06842105) X,/I1/IN (VY=0.06842105) Y,/I1/IN (VY=0.07894737) X,/I1/IN (VY=0.07894737) Y,/I1/IN (VY=0.08947368) X,/I1/IN (VY=0.08947368) Y,/I1/IN (VY=0.1) X,/I1/IN (VY=0.1) Y,/I1/IN (VY=-0.02631579) X,/I1/IN (VY=-0.02631579) Y
0,8.090891083866497e-12,0,8.267320706921442e-12,0,8.447796492015974e-12,0,8.62117673744643e-12,0,8.774780730711455e-12,0,8.895756469640267e-12,0,8.97198526187946e-12,0,9.007024140606943e-12,0,8.985949076788618e-12,0,8.947622889344983e-12,0,8.884363851300467e-12,0,8.771572399190141e-12,0,8.562663988633977e-12,0,8.18493916507982e-12,0,7.538418981486463e-12,0,6.529415227905585e-12,0,5.193804493884944e-12,0,3.803922766511779e-12,0,2.68031181186693e-12,0,9.00560345951954e-12
1e-06,8.090908848326668e-12,1e-06,8.26734972284319e-12,1e-06,8.447842436343481e-12,1e-06,8.621028076232387e-12,1e-06,8.774371677355092e-12,1e-06,8.89604666239693e-12,1e-06,8.972002610506115e-12,1e-06,9.007216364922374e-12,1e-06,8.98596726428736e-12,1e-06,8.947646240978961e-12,1e-06,8.884381597546563e-12,1e-06,8.771601567696551e-12,1e-06,8.562685120177635e-12,1e-06,8.184956309972319e-12,1e-06,7.538436186673444e-12,1e-06,6.529432868718997e-12,1e-06,5.193822924932915e-12,1e-06,3.804095086364657e-12,1e-06,2.680329996021775e-12,1e-06,9.005630901769021e-12
3e-06,8.09087522919255e-12,3e-06,8.267315188461668e-12,3e-06,8.447790517963773e-12,3e-06,8.62111813961707e-12,3e-06,8.774640671054753e-12,3e-06,8.895858306333223e-12,3e-06,8.971967930482812e-12,3e-06,9.007068949828288e-12,3e-06,8.985931812763323e-12,3e-06,8.947607829565434e-12,3e-06,8.884346120977156e-12,3e-06,8.771558049530726e-12,3e-06,8.562647078217097e-12,3e-06,8.184920564129094e-12,3e-06,7.538400087638454e-12,3e-06,6.52939609807078e-12,3e-06,5.193785287232367e-12,3e-06,3.803908066605093e-12,3e-06,2.680292075538102e-12,3e-06,9.005590533815532e-12
5.312833731558578e-06,8.09085625323957e-12,5.312833731678878e-06,8.267295145348297e-12,5.312833731806295e-06,8.447754953370564e-12,5.312833731935162e-06,8.621147948038136e-12,5.312833732060926e-06,8.774754586741071e-12,5.312833732182106e-06,8.89570371430487e-12,5.312833732301029e-06,8.971947375226256e-12,5.312833732549419e-06,9.00695398772365e-12,5.312833732683729e-06,8.985911135318844e-12,5.312833732825728e-06,8.947584841277444e-12,5.312833732976683e-06,8.8843252587081e-12,5.312833733137601e-06,8.77153108316163e-12,5.312833733307839e-06,8.562623477609082e-12,5.312833733484018e-06,8.184899137530514e-12,5.31283373365909e-06,7.538377811776111e-12,5.31283373382296e-06,6.529373697504643e-12,5.312833733966056e-06,5.193761643138961e-12,5.312833734082808e-06,3.803777414914131e-12,5.31283373417252e-06,2.680266314282197e-12,5.312833732422277e-06,9.005565072656707e-12
9.938501194675735e-06,8.090831557399497e-12,9.938501195036633e-06,8.267269974819608e-12,9.938501195418884e-06,8.447717969978231e-12,9.938501195805487e-06,8.621114049757573e-12,9.938501196182779e-06,8.774714072648898e-12,9.938501196546319e-06,8.895558949371848e-12,9.938501196903087e-06,8.971926272533049e-12,9.938501197648256e-06,9.006850566404866e-12,9.938501198051186e-06,8.985889126438135e-12,9.938501198477183e-06,8.947560498319651e-12,9.938501198930051e-06,8.884304961799295e-12,9.938501199412802e-06,8.771503701594266e-12,9.938501199923515e-06,8.562601195169357e-12,9.938501200452054e-06,8.184877319561357e-12,9.938501200977268e-06,7.538356291298265e-12,9.93850120146888e-06,6.529348496187701e-12,9.938501201898168e-06,5.193733662250188e-12,9.938501202248423e-06,3.80370564937888e-12,9.938501202517561e-06,2.680233459465255e-12,9.938501197266832e-06,9.005540317421964e-12
1.918983612091005e-05,8.090933231483937e-12,1.918983612175215e-05,8.267381474713092e-12,1.918983612264406e-05,8.44782812455318e-12,1.918983612354613e-05,8.621252276263809e-12,1.918983612442649e-05,8.774872391212564e-12,1.918983612527475e-05,8.895592355113034e-12,1.91898361261072e-05,8.972077801207858e-12,1.918983612784593e-05,9.006942251545415e-12,1.91898361287861e-05,8.98606294818555e-12,1.918983612978009e-05,8.947736385013519e-12,1.918983613083678e-05,8.884480917972049e-12,1.91898361319632e-05,8.771673014804241e-12,1.918983613315487e-05,8.562767064489442e-12,1.918983613438813e-05,8.185036672404394e-12,1.918983613561363e-05,7.538507403138205e-12,1.918983613676072e-05,6.529497610388952e-12,1.918983613776239e-05,5.19387850270403e-12,1.918983613857965e-05,3.803845151893426e-12,1.918983613920764e-05,2.680367816359637e-12,1.918983612695594e-05,9.005694028664927e-12
2.99913409231926e-05,8.092334221152273e-12,2.999126121524335e-05,8.26886791611015e-12,2.999116629199862e-05,8.44939235505803e-12,2.999106683643235e-05,8.622896056991716e-12,2.999096686895856e-05,8.776577046766027e-12,2.999087100365548e-05,8.897335636023252e-12,2.999077606161904e-05,8.973975294505201e-12,2.999061484331465e-05,9.009000033257731e-12,2.999054377291335e-05,8.98824120672558e-12,2.999049025758309e-05,8.949957845279463e-12,2.999044405182858e-05,8.886701302139357e-12,2.99903975693665e-05,8.773834467405476e-12,2.999034658950619e-05,8.564829574821023e-12,2.999028670154304e-05,8.186966862032746e-12,2.999021060063658e-05,7.540291141494408e-12,2.999012554887159e-05,6.531125902473245e-12,2.999003175071351e-05,5.195332635934087e-12,2.998993204443303e-05,3.805100146626768e-12,2.998983980217194e-05,2.681421333146033e-12,2.999069227746959e-05,9.007693522261024e-12
4.803230490541243e-05,8.103146798865311e-12,4.803224266763778e-05,8.280515357325514e-12,4.803220946316101e-05,8.461887812690673e-12,4.803216565054975e-05,8.636283563944721e-12,4.803211968956485e-05,8.790923208307772e-12,4.803205052986396e-05,8.912699015371648e-12,4.803196789131646e-05,8.990600370981159e-12,4.803165113247072e-05,9.028167047119277e-12,4.803146457379197e-05,9.008393063277851e-12,4.8031247832036e-05,8.97060479337764e-12,4.803099045593322e-05,8.907267279410228e-12,4.803068315859311e-05,8.793686127315137e-12,4.803030120020617e-05,8.583331415330715e-12,4.802986484519073e-05,8.203547539939541e-12,4.802938943366495e-05,7.554456818289857e-12,4.802890557807699e-05,6.542314709920705e-12,4.802845006904479e-05,5.202941975296152e-12,4.802803098798733e-05,3.809125487566464e-12,4.802766384899293e-05,2.682742327742623e-12,4.803182600154483e-05,9.025636969976553e-12
6.803230490541243e-05,8.132087856321568e-12,6.803224266763778e-05,8.312217323220285e-12,6.803220946316101e-05,8.49655731164456e-12,6.803216565054974e-05,8.674174494053454e-12,6.803211968956485e-05,8.832399525725683e-12,6.803205052986396e-05,8.958304429594462e-12,6.803196789131646e-05,9.040986174452387e-12,6.803165113247072e-05,9.088213244974259e-12,6.803146457379197e-05,9.071979250825077e-12,6.803124783203599e-05,9.035975559179443e-12,6.803099045593322e-05,8.972302149037312e-12,6.803068315859312e-05,8.856013722865524e-12,6.803030120020617e-05,8.640455107786842e-12,6.802986484519072e-05,8.25300983502927e-12,6.802938943366494e-05,7.59371820840414e-12,6.802890557807698e-05,6.568439238873506e-12,6.802845006904478e-05,5.213640504259228e-12,6.802803098798733e-05,3.805986220817482e-12,6.802766384899294e-05,2.671003049925149e-12,6.803182600154483e-05,9.081039227425317e-12
8.803230490541243e-05,8.177189579427352e-12,8.803224266763777e-05,8.362572108222793e-12,8.803220946316101e-05,8.552673493505488e-12,8.803216565054974e-05,8.736712701718453e-12,8.803211968956485e-05,8.902269216237852e-12,8.803205052986396e-05,9.036665523491934e-12,8.803196789131646e-05,9.129138341365731e-12,8.803165113247072e-05,9.196001179252381e-12,8.803146457379196e-05,9.186856015065317e-12,8.803124783203599e-05,9.154410914010929e-12,8.803099045593322e-05,9.090011654745556e-12,8.803068315859311e-05,8.968166215659465e-12,8.803030120020617e-05,8.741780790962065e-12,8.802986484519072e-05,8.337985362133679e-12,8.802938943366494e-05,7.656256257816853e-12,8.802890557807698e-05,6.601706987245416e-12,8.802845006904478e-05,5.213822167231639e-12,8.802803098798733e-05,3.779877949236569e-12,8.802766384899294e-05,2.632125042905867e-12,8.803182600154483e-05,9.179413378104023e-12
