/I1/IN (VY=-0.1) X,/I1/IN (VY=-0.1) Y,/I1/IN (VY=-0.08947368) X,/I1/IN (VY=-0.08947368) Y,/I1/IN (VY=-0.07894737) X,/I1/IN (VY=-0.07894737) Y,/I1/IN (VY=-0.06842105) X,/I1/IN (VY=-0.06842105) Y,/I1/IN (VY=-0.05789474) X,/I1/IN (VY=-0.05789474) Y,/I1/IN (VY=-0.04736842) X,/I1/IN (VY=-0.04736842) Y,/I1/IN (VY=-0.03684211) X,/I1/IN (VY=-0.03684211) Y,/I1/IN (VY=-0.02631579) X,/I1/IN (VY=-0.02631579) Y,/I1/IN (VY=-0.01578947) X,/I1/IN (VY=-0.01578947) Y,/I1/IN (VY=-0.005263158) X,/I1/IN (VY=-0.005263158) Y,/I1/IN (VY=0.005263158) X,/I1/IN (VY=0.005263158) Y,/I1/IN (VY=0.01578947) X,/I1/IN (VY=0.01578947) Y,/I1/IN (VY=0.02631579) X,/I1/IN (VY=0.02631579) Y,/I1/IN (VY=0.03684211) X,/I1/IN (VY=0.03684211) Y,/I1/IN (VY=0.04736842) X,/I1/IN (VY=0.04736842) Y,/I1/IN (VY=0.05789474) X,/I1/IN (VY=0.05789474) Y,/I1/IN (VY=0.06842105) X,/I1/IN (VY=0.06842105) Y,/I1/IN (VY=0.07894737) X,/I1/IN (VY=0.07894737) Y,/I1/IN (VY=0.08947368) X,/I1/IN (VY=0.08947368) Y,/I1/IN (VY=0.1) X,/I1/IN (VY=0.1) Y
0,3.028553535071917e-11,0,3.12150855565161e-11,0,3.212642683754789e-11,0,3.295516029188619e-11,0,3.363550889669156e-11,0,3.411315547668112e-11,0,3.435558820530414e-11,0,3.434873560034064e-11,0,3.414701315896393e-11,0,3.377730740098577e-11,0,3.320336810130799e-11,0,3.234879961014174e-11,0,3.110580660710123e-11,0,2.933081731933498e-11,0,2.686551663031995e-11,0,2.35856707174318e-11,0,1.950005827756971e-11,0,1.49082073725923e-11,0,1.032934174188837e-11,0,6.214993719455076e-12
1e-06,3.028817056467867e-11,1e-06,3.121516457305815e-11,1e-06,3.212656097706215e-11,1e-06,3.295538318696719e-11,1e-06,3.36358768310986e-11,1e-06,3.411369648891836e-11,1e-06,3.435634692965521e-11,1e-06,3.4349831692921e-11,1e-06,3.414873457771651e-11,1e-06,3.378019095995325e-11,1e-06,3.320792948024317e-11,1e-06,3.235325578246349e-11,1e-06,3.110617045480783e-11,1e-06,2.933121025430898e-11,1e-06,2.686593089174947e-11,1e-06,2.358608630898016e-11,1e-06,1.950045087531789e-11,1e-06,1.490854997241509e-11,1e-06,1.032962291545392e-11,1e-06,6.21521273113642e-12
2.861263012489098e-06,3.0290373059943e-11,2.861263012489098e-06,3.121923992214758e-11,2.861263012489162e-06,3.213127411044293e-11,2.861263012489162e-06,3.296080363356771e-11,2.861263012489162e-06,3.364208044755346e-11,2.861263012489227e-06,3.412075800920573e-11,2.861263012489227e-06,3.436432642397517e-11,2.861263012489227e-06,3.4358745115961e-11,2.861263012489292e-06,3.415848849455742e-11,2.861263012489292e-06,3.379060138565263e-11,2.861263012489292e-06,3.321853135204681e-11,2.861263012489292e-06,3.236311114844317e-11,2.861263012489292e-06,3.11172406849321e-11,2.861263012489292e-06,2.934182837026716e-11,2.861263012489292e-06,2.687571112318591e-11,2.861263012489356e-06,2.359465006994529e-11,2.861263012489356e-06,1.950748587888718e-11,2.861263012489356e-06,1.49139237041149e-11,2.861263012489356e-06,1.033342499340782e-11,2.861263012489356e-06,6.217706223014018e-12
4.968989757539567e-06,3.02967963517553e-11,4.968989757539548e-06,3.122767446110814e-11,4.968989757539665e-06,3.214101898815584e-11,4.968989757539647e-06,3.297200918652198e-11,4.968989757539628e-06,3.36549094365837e-11,4.968989757539965e-06,3.413537158568874e-11,4.968989757539946e-06,3.438085152546959e-11,4.968989757539928e-06,3.437721043617132e-11,4.968989757539972e-06,3.417869317388856e-11,4.968989757539953e-06,3.381220875412816e-11,4.968989757539953e-06,3.324093739394182e-11,4.968989757539953e-06,3.238540876145161e-11,4.968989757539935e-06,3.114008538919105e-11,4.968989757539935e-06,2.936365202674449e-11,4.968989757539935e-06,2.689568703300293e-11,4.968989757540069e-06,2.361196844686303e-11,4.968989757540051e-06,1.952148589127458e-11,4.968989757540051e-06,1.492435150389644e-11,4.968989757540051e-06,1.03405132268232e-11,4.968989757540051e-06,6.222056707443767e-12
9.184443247640505e-06,3.033438414608899e-11,9.184443247640449e-06,3.127237613338494e-11,9.184443247640671e-06,3.219348535109323e-11,9.184443247640615e-06,3.303327352299198e-11,9.184443247640559e-06,3.372608830232762e-11,9.18444324764144e-06,3.42175459281837e-11,9.184443247641386e-06,3.447484530862988e-11,9.184443247641328e-06,3.448318292158834e-11,9.184443247641331e-06,3.429521879475746e-11,9.184443247641275e-06,3.393726458429222e-11,9.184443247641275e-06,3.337155887299469e-11,9.184443247641275e-06,3.251787452537723e-11,9.18444324764122e-06,3.127020019322716e-11,9.18444324764122e-06,2.948619665322953e-11,9.18444324764122e-06,2.700526049143443e-11,9.184443247641494e-06,2.3703367366987e-11,9.184443247641441e-06,1.959071338870622e-11,9.184443247641441e-06,1.497056614498635e-11,9.184443247641441e-06,1.036620238750462e-11,9.184443247641441e-06,6.231893647805605e-12
1.761535022784238e-05,3.046539025108456e-11,1.761535022784225e-05,3.143307567235411e-11,1.761535022784268e-05,3.23884653054341e-11,1.761535022784255e-05,3.326789991048259e-11,1.761535022784242e-05,3.40061462980057e-11,1.761535022784439e-05,3.454860845774836e-11,1.761535022784426e-05,3.486117126229527e-11,1.761535022784413e-05,3.492569194458472e-11,1.761535022784405e-05,3.47856720049108e-11,1.761535022784392e-05,3.446572976353039e-11,1.761535022784392e-05,3.392358643167439e-11,1.761535022784392e-05,3.307502802789255e-11,1.761535022784379e-05,3.181084296076728e-11,1.761535022784379e-05,2.998547047510501e-11,1.761535022784379e-05,2.743706954787957e-11,1.761535022784435e-05,2.404360627552363e-11,1.761535022784422e-05,1.982324824015333e-11,1.761535022784422e-05,1.509831347149648e-11,1.761535022784422e-05,1.040810324463261e-11,1.761535022784422e-05,6.214348882185116e-12
2.90678240824455e-05,3.065998036584326e-11,2.933701353333697e-05,3.168586757305497e-11,2.964253259062267e-05,3.271254342371746e-11,2.963945283068942e-05,3.366782007462899e-11,2.95058110575551e-05,3.448881859438766e-11,2.946050871124064e-05,3.512809504151133e-11,2.948199888435582e-05,3.554987765726694e-11,2.957157312223949e-05,3.573167946409579e-11,2.971582813010453e-05,3.569582138430982e-11,2.988618742106481e-05,3.546369895774113e-11,3.00839995322029e-05,3.498335079678951e-11,3.031716613526277e-05,3.416139296757834e-11,3.014943069297032e-05,3.284273255541407e-11,2.997615602837129e-05,3.091165320202165e-11,2.981960323227513e-05,2.820827467967443e-11,2.968059347639516e-05,2.461818770130918e-11,2.956018833142196e-05,2.01806189885094e-11,2.945909733132365e-05,1.526142087677694e-11,2.93775363059551e-05,1.042788446777537e-11,2.932458857890406e-05,6.147460239748084e-12
4.906782408244549e-05,3.098787468851954e-11,4.933701353333697e-05,3.210802555723078e-11,4.964253259062267e-05,3.324509848135296e-11,4.963945283068943e-05,3.432951889312742e-11,4.875132872746696e-05,3.52694490185147e-11,4.80364259895061e-05,3.603993706572426e-11,4.769005610309829e-05,3.661481227770559e-11,4.721551833443946e-05,3.693643904645308e-11,4.679444535862917e-05,3.700249663077397e-11,4.653990170405442e-05,3.684417546570012e-11,4.646096222549291e-05,3.640375186849906e-11,4.656776166486522e-05,3.557966636696413e-11,4.637408904379078e-05,3.420201504040845e-11,4.633214658267685e-05,3.215225482924469e-11,4.647617637417871e-05,2.926371485502525e-11,4.681108066685272e-05,2.542253931534924e-11,4.732959175400401e-05,2.06900250431423e-11,4.692989380852797e-05,1.548105956807063e-11,4.666000730818424e-05,1.044655265856591e-11,4.662073990603755e-05,6.053469026627384e-12
6.906782408244549e-05,3.13171527077756e-11,6.933701353333697e-05,3.253825847346718e-11,6.964253259062267e-05,3.379238299027904e-11,6.963945283068942e-05,3.501225593832944e-11,6.875132872746697e-05,3.610724804515945e-11,6.80364259895061e-05,3.705353011519105e-11,6.769005610309829e-05,3.782217059730323e-11,6.721551833443946e-05,3.834627764007721e-11,6.679444535862918e-05,3.859034501793888e-11,6.653990170405442e-05,3.856774171177582e-11,6.646096222549291e-05,3.820973525349978e-11,6.656776166486521e-05,3.739775923337285e-11,6.637408904379079e-05,3.594557760971175e-11,6.633214658267685e-05,3.37250576546849e-11,6.647617637417871e-05,3.05674852262501e-11,6.681108066685272e-05,2.637386784025811e-11,6.732959175400401e-05,2.125420795639069e-11,6.692989380852797e-05,1.571233538008894e-11,6.666000730818424e-05,1.044508362317123e-11,6.662073990603756e-05,5.926749683509827e-12
8.906782408244549e-05,3.163629031652808e-11,8.933701353333697e-05,3.296471980043802e-11,8.964253259062267e-05,3.434208244525703e-11,8.963945283068942e-05,3.570329889977676e-11,8.875132872746696e-05,3.695921098840476e-11,8.80364259895061e-05,3.808686888868823e-11,8.769005610309829e-05,3.905483165196945e-11,8.721551833443945e-05,3.97876916970414e-11,8.679444535862918e-05,4.022435019660969e-11,8.653990170405442e-05,4.034609195541053e-11,8.646096222549291e-05,4.007649301469787e-11,8.656776166486521e-05,3.927744861642067e-11,8.637408904379078e-05,3.774409658421092e-11,8.633214658267685e-05,3.533847728980574e-11,8.647617637417871e-05,3.189075123843035e-11,8.681108066685272e-05,2.732097178416329e-11,8.732959175400401e-05,2.179792386646557e-11,8.692989380852797e-05,1.591716906293367e-11,8.666000730818424e-05,1.042163996581253e-11,8.662073990603756e-05,5.788767489564181e-12
