/net7 X,/net7 Y,/I_60/OUT X,/I_60/OUT Y,/I_120/OUT X,/I_120/OUT Y,/I_180/OUT X,/I_180/OUT Y,/I_240/OUT X,/I_240/OUT Y,/I_300/OUT X,/I_300/OUT Y,/I_600/OUT X,/I_600/OUT Y,/I_540/OUT X,/I_540/OUT Y,/I_480/OUT X,/I_480/OUT Y,/I_420/OUT X,/I_420/OUT Y,/I_360/OUT X,/I_360/OUT Y
0,0.1,0,-9.977891654644938e-11,0,-8.014123791577228e-11,0,-7.089333131673887e-11,0,-6.525476651162111e-11,0,-6.00646602733773e-11,0,-3.273148954439163e-11,0,-3.841341514299194e-11,0,-4.388202769066132e-11,0,-4.99697923333459e-11,0,-5.504416754028337e-11
1e-06,0.0998,1e-06,-9.965101433530355e-11,1e-06,-7.999752721765899e-11,1e-06,-7.075086196235044e-11,1e-06,-6.511637008487813e-11,1e-06,-5.993200105722529e-11,1e-06,-3.263758142266734e-11,1e-06,-3.83105741697719e-11,1e-06,-4.377035138908391e-11,1e-06,-4.984904378088424e-11,1e-06,-5.491845832327248e-11
1.94680587377537e-06,0.09961063882524493,1.94680587377537e-06,-9.949808488455705e-11,1.94680587377537e-06,-7.982679412328342e-11,1.94680587377537e-06,-7.058176207873997e-11,1.94680587377537e-06,-6.495235195696577e-11,1.94680587377537e-06,-5.977447284679932e-11,1.94680587377537e-06,-3.252286753698904e-11,1.94680587377537e-06,-3.818620586128764e-11,1.94680587377537e-06,-4.363672044446121e-11,1.94680587377537e-06,-4.970576469371304e-11,1.94680587377537e-06,-5.476826098590304e-11
2.973250537184072e-06,0.09940534989256319,2.973250537184072e-06,-9.932700007382477e-11,2.973250537184072e-06,-7.96367119806339e-11,2.973250537184072e-06,-7.039436175657168e-11,2.973250537184072e-06,-6.477117603943613e-11,2.973250537184072e-06,-5.960063293031048e-11,2.973250537184072e-06,-3.239581276445337e-11,2.973250537184072e-06,-3.804871575960058e-11,2.973250537184072e-06,-4.348931824332456e-11,2.973250537184072e-06,-4.95479554553171e-11,2.973250537184072e-06,-5.460243091342357e-11
4.83919163901999e-06,0.099032161672196,4.83919163901999e-06,-9.901055642082662e-11,4.83919163901999e-06,-7.92886186611329e-11,4.83919163901999e-06,-7.005532063447741e-11,4.83919163901999e-06,-6.444554715715653e-11,4.83919163901999e-06,-5.928915634248019e-11,4.83919163901999e-06,-3.217001233614685e-11,4.83919163901999e-06,-3.780407544214491e-11,4.83919163901999e-06,-4.322687173302755e-11,4.83919163901999e-06,-4.926662123608193e-11,4.83919163901999e-06,-5.430579286868791e-11
7.426387154490658e-06,0.09851472256910188,7.426387154490658e-06,-9.856327947465894e-11,7.426387154490658e-06,-7.880252445425214e-11,7.426387154490658e-06,-6.958852147890421e-11,7.426387154490658e-06,-6.399978657066715e-11,7.426387154490658e-06,-5.886404730117771e-11,7.426387154490658e-06,-3.186646191279552e-11,7.426387154490658e-06,-3.74739761220376e-11,7.426387154490658e-06,-4.287171539714693e-11,7.426387154490658e-06,-4.888473565397663e-11,7.426387154490658e-06,-5.390184895130314e-11
1.089291415188482e-05,0.09782141716962305,1.089291415188482e-05,-9.795370122904837e-11,1.089291415188482e-05,-7.814615449758173e-11,1.089291415188482e-05,-6.89635729605197e-11,1.089291415188482e-05,-6.340440773840955e-11,1.089291415188482e-05,-5.829703894461059e-11,1.089291415188482e-05,-3.146624121748093e-11,1.089291415188482e-05,-3.703722787943221e-11,1.089291415188482e-05,-4.240057708020371e-11,1.089291415188482e-05,-4.837692802550986e-11,1.089291415188482e-05,-5.336378150707207e-11
1.545983708119401e-05,0.09690803258376121,1.545983708119401e-05,-9.714024511058349e-11,1.545983708119401e-05,-7.727622226013814e-11,1.545983708119401e-05,-6.813828296392521e-11,1.545983708119401e-05,-6.261872262630377e-11,1.545983708119401e-05,-5.754917186020998e-11,1.545983708119401e-05,-3.094109965685004e-11,1.545983708119401e-05,-3.646308935293357e-11,1.545983708119401e-05,-4.17804475594279e-11,1.545983708119401e-05,-4.770785424146937e-11,1.545983708119401e-05,-5.265444160788474e-11
2.202286386606333e-05,0.09559542722678734,2.202286386606333e-05,-9.595615098365295e-11,2.202286386606333e-05,-7.60189144163309e-11,2.202286386606333e-05,-6.694843567883173e-11,2.202286386606333e-05,-6.148685893685103e-11,2.202286386606333e-05,-5.647228044296766e-11,2.202286386606333e-05,-3.018614835187488e-11,2.202286386606333e-05,-3.563723525724229e-11,2.202286386606333e-05,-4.088813734446128e-11,2.202286386606333e-05,-4.674483855191659e-11,2.202286386606333e-05,-5.163330234997395e-11
3.202286386606333e-05,0.09359542722678733,3.202286386606333e-05,-9.411937693122037e-11,3.202286386606333e-05,-7.408859888962079e-11,3.202286386606333e-05,-6.512884219382636e-11,3.202286386606333e-05,-5.975848669310459e-11,3.202286386606333e-05,-5.482913335201334e-11,3.202286386606333e-05,-2.903573125366773e-11,3.202286386606333e-05,-3.43785311900054e-11,3.202286386606333e-05,-3.952789631082678e-11,3.202286386606333e-05,-4.527640165062119e-11,3.202286386606333e-05,-5.007586642508685e-11
4.202286386606333e-05,0.09159542722678735,4.202286386606333e-05,-9.224374838892758e-11,4.202286386606333e-05,-7.214228606576195e-11,4.202286386606333e-05,-6.330357341802406e-11,4.202286386606333e-05,-5.80278729690709e-11,4.202286386606333e-05,-5.318550157116473e-11,4.202286386606333e-05,-2.788722924552895e-11,4.202286386606333e-05,-3.312157187359509e-11,4.202286386606333e-05,-3.816917785881929e-11,4.202286386606333e-05,-4.380899304603403e-11,4.202286386606333e-05,-4.851889739879864e-11
5.202286386606333e-05,0.08959542722678734,5.202286386606333e-05,-9.033043338156577e-11,5.202286386606333e-05,-7.018218553491177e-11,5.202286386606333e-05,-6.147495968992725e-11,5.202286386606333e-05,-5.6297263600386e-11,5.202286386606333e-05,-5.154355086046269e-11,5.202286386606333e-05,-2.67424567603728e-11,5.202286386606333e-05,-3.186830927605747e-11,5.202286386606333e-05,-3.681398068020285e-11,5.202286386606333e-05,-4.234464068001657e-11,5.202286386606333e-05,-4.696448354820379e-11
6.202286386606333e-05,0.08759542722678734,6.202286386606333e-05,-8.838095994168252e-11,6.202286386606333e-05,-6.821079921534424e-11,6.202286386606333e-05,-5.964528163019541e-11,6.202286386606333e-05,-5.4568837203192e-11,6.202286386606333e-05,-4.990536208299986e-11,6.202286386606333e-05,-2.56030309530766e-11,6.202286386606333e-05,-3.062042432157334e-11,6.202286386606333e-05,-3.546408153507527e-11,6.202286386606333e-05,-4.088524355479273e-11,6.202286386606333e-05,-4.541461358450968e-11
7.202286386606333e-05,0.08559542722678734,7.202286386606333e-05,-8.63970298277138e-11,7.202286386606333e-05,-6.623054628906088e-11,7.202286386606333e-05,-5.781682533071207e-11,7.202286386606333e-05,-5.284477939959223e-11,7.202286386606333e-05,-4.827301367564242e-11,7.202286386606333e-05,-2.447041620276623e-11,7.202286386606333e-05,-2.93795194213681e-11,7.202286386606333e-05,-3.412119851882899e-11,7.202286386606333e-05,-3.943265138217006e-11,7.202286386606333e-05,-4.387125413706252e-11
8.202286386606333e-05,0.08359542722678734,8.202286386606333e-05,-8.438047604099353e-11,8.202286386606333e-05,-6.424379206504725e-11,8.202286386606333e-05,-5.599186556866815e-11,8.202286386606333e-05,-5.112724494177076e-11,8.202286386606333e-05,-4.664855055246733e-11,8.202286386606333e-05,-2.334601723014701e-11,8.202286386606333e-05,-2.814714304782161e-11,8.202286386606333e-05,-3.27870210845205e-11,8.202286386606333e-05,-3.798869704912148e-11,8.202286386606333e-05,-4.23363457833698e-11
9.202286386606333e-05,0.08159542722678734,9.202286386606333e-05,-8.233325862039391e-11,9.202286386606333e-05,-6.225291999057303e-11,9.202286386606333e-05,-5.417263600062406e-11,9.202286386606333e-05,-4.941833656271786e-11,9.202286386606333e-05,-4.503396162900686e-11,9.202286386606333e-05,-2.223119608928156e-11,9.202286386606333e-05,-2.692481028032692e-11,9.202286386606333e-05,-3.146319348603019e-11,9.202286386606333e-05,-3.655515891113757e-11,9.202286386606333e-05,-4.08117722449933e-11
0.0001020228638660633,0.07959542722678734,0.0001020228638660633,-8.025746034908585e-11,0.0001020228638660633,-6.026031905927963e-11,0.0001020228638660633,-5.23613160966492e-11,0.0001020228638660633,-4.772009329282221e-11,0.0001020228638660633,-4.343116867299629e-11,0.0001020228638660633,-2.112725975595975e-11,0.0001020228638660633,-2.571397166254148e-11,0.0001020228638660633,-3.015129274266565e-11,0.0001020228638660633,-3.51337475129833e-11,0.0001020228638660633,-3.929934917683538e-11
0.0001120228638660633,0.07759542722678733,0.0001120228638660633,-7.815527834829292e-11,0.0001120228638660633,-5.826835258409299e-11,0.0001120228638660633,-5.056001925280358e-11,0.0001120228638660633,-4.603447964562796e-11,0.0001120228638660633,-4.184201636598501e-11,0.0001120228638660633,-2.003544197195945e-11,0.0001120228638660633,-2.451600298432522e-11,0.0001120228638660633,-2.885282005811743e-11,0.0001120228638660633,-3.372609689385775e-11,0.0001120228638660633,-3.780081494574034e-11
0.0001220228638660633,0.07559542722678733,0.0001220228638660633,-7.60290135369854e-11,0.0001220228638660633,-5.627934417512253e-11,0.0001220228638660633,-4.87707815012209e-11,0.0001220228638660633,-4.436337587685915e-11,0.0001220228638660633,-4.026826315789484e-11,0.0001220228638660633,-1.895689664878571e-11,0.0001220228638660633,-2.333219844909459e-11,0.0001220228638660633,-2.756919335692499e-11,0.0001220228638660633,-3.233375645398182e-11,0.0001220228638660633,-3.631782203664362e-11
0.0001320228638660633,0.07359542722678734,0.0001320228638660633,-7.388105876279139e-11,0.0001320228638660633,-5.429556474919331e-11,0.0001320228638660633,-4.699555108018161e-11,0.0001320228638660633,-4.270856887073144e-11,0.0001320228638660633,-3.871157307369932e-11,0.0001320228638660633,-1.789269228563925e-11,0.0001320228638660633,-2.216376431957502e-11,0.0001320228638660633,-2.630174045532316e-11,0.0001320228638660633,-3.095818365203779e-11,0.0001320228638660633,-3.485192937126434e-11
0.0001420228638660633,0.07159542722678734,0.0001420228638660633,-7.171399806675402e-11,0.0001420228638660633,-5.231922013235414e-11,0.0001420228638660633,-4.523617924254811e-11,0.0001420228638660633,-4.10717441949219e-11,0.0001420228638660633,-3.717350856445241e-11,0.0001420228638660633,-1.684380703718334e-11,0.0001420228638660633,-2.101181339803954e-11,0.0001420228638660633,-2.505169315484999e-11,0.0001420228638660633,-2.960073768000694e-11,0.0001420228638660633,-3.340459563991202e-11
0.0001520228638660633,0.06959542722678734,0.0001520228638660633,-6.953044587216769e-11,0.0001520228638660633,-5.035243966521984e-11,0.0001520228638660633,-4.349441227877906e-11,0.0001520228638660633,-3.945447929332953e-11,0.0001520228638660633,-3.565552444936753e-11,0.0001520228638660633,-1.581112472997431e-11,0.0001520228638660633,-1.987736048384978e-11,0.0001520228638660633,-2.382018233095361e-11,0.0001520228638660633,-2.826267416047205e-11,0.0001520228638660633,-3.197717368820834e-11
0.0001620228638660633,0.06759542722678734,0.0001620228638660633,-6.73329405043442e-11,0.0001620228638660633,-4.839726595027266e-11,0.0001620228638660633,-4.177188449340492e-11,0.0001620228638660633,-3.785823783407423e-11,0.0001620228638660633,-3.415896296960348e-11,0.0001620228638660633,-1.479543190130384e-11,0.0001620228638660633,-1.876131883915473e-11,0.0001620228638660633,-2.26082340371932e-11,0.0001620228638660633,-2.69451408854229e-11,0.0001620228638660633,-3.057090597710801e-11
0.0001720228638660633,0.06559542722678734,0.0001720228638660633,-6.512409876331268e-11,0.0001720228638660633,-4.645564569675961e-11,0.0001720228638660633,-4.007011253729231e-11,0.0001720228638660633,-3.628436521836062e-11,0.0001720228638660633,-3.268504995014716e-11,0.0001720228638660633,-1.379741587489229e-11,0.0001720228638660633,-1.766449767228144e-11,0.0001720228638660633,-2.141676662697471e-11,0.0001720228638660633,-2.564917459447714e-11,0.0001720228638660633,-2.918692111167831e-11
0.0001820228638660633,0.06359542722678735,0.0001820228638660633,-6.290655869054455e-11,0.0001820228638660633,-4.452942226913189e-11,0.0001820228638660633,-3.839049096496943e-11,0.0001820228638660633,-3.473408523145492e-11,0.0001820228638660633,-3.123489204622943e-11,0.0001820228638660633,-1.281766386941306e-11,0.0001820228638660633,-1.658760063081042e-11,0.0001820228638660633,-2.024658888044342e-11,0.0001820228638660633,-2.437569877359718e-11,0.0001820228638660633,-2.782623141618442e-11
