/I_60/OUT X,/I_60/OUT Y,/I_120/OUT X,/I_120/OUT Y,/I_180/OUT X,/I_180/OUT Y,/I_240/OUT X,/I_240/OUT Y,/I_600/OUT X,/I_600/OUT Y,/I_540/OUT X,/I_540/OUT Y,/I_480/OUT X,/I_480/OUT Y,/I_420/OUT X,/I_420/OUT Y,/I_360/OUT X,/I_360/OUT Y,/net7 X,/net7 Y,/I_300/OUT X,/I_300/OUT Y
0,5.038222722816843e-11,0,4.718123214230487e-11,0,3.195024577108746e-11,0,2.564689194204783e-11,0,2.673298307464978e-11,0,2.541524056550822e-11,0,2.428913162184204e-11,0,2.321381445107519e-11,0,2.287248248998966e-11,0,0.1,0,2.339277461218331e-11
1e-06,5.03400651671081e-11,1e-06,4.71421741605347e-11,1e-06,3.192079859327853e-11,1e-06,2.562341920014457e-11,1e-06,2.671814238889314e-11,1e-06,2.539992410452147e-11,1e-06,2.427311738425866e-11,1e-06,2.319687249659321e-11,1e-06,2.285440340161104e-11,1e-06,0.0998,1e-06,2.337268930302866e-11
2.006714537508971e-06,5.02715593306431e-11,2.006714537508971e-06,4.707903350491947e-11,2.006714537508971e-06,3.187389789405419e-11,2.006714537508971e-06,2.558626255305149e-11,2.006714537508971e-06,2.669479543644114e-11,2.006714537508971e-06,2.53757867241377e-11,2.006714537508971e-06,2.424787297953433e-11,2.006714537508971e-06,2.317015512119722e-11,2.006714537508971e-06,2.282587795713593e-11,2.006714537508971e-06,0.09959865709249821,2.006714537508971e-06,2.334095105538159e-11
3.028826989956277e-06,5.019428888827983e-11,3.028826989956277e-06,4.700792760264691e-11,3.028826989956277e-06,3.182133449388633e-11,3.028826989956277e-06,2.554467692826897e-11,3.028826989956277e-06,2.666866896270566e-11,3.028826989956277e-06,2.534875375360101e-11,3.028826989956277e-06,2.42196037829999e-11,3.028826989956277e-06,2.314023904463889e-11,3.028826989956277e-06,2.279392977110345e-11,3.028826989956277e-06,0.09939423460200875,3.028826989956277e-06,2.330541595800775e-11
5.073051894850891e-06,5.003227194667198e-11,5.073051894850891e-06,4.685941817374044e-11,5.073051894850891e-06,3.171187416455876e-11,5.073051894850891e-06,2.545792653304911e-11,5.073051894850891e-06,2.661372880370314e-11,5.073051894850891e-06,2.529187329265333e-11,5.073051894850891e-06,2.416017279859676e-11,5.073051894850891e-06,2.307741092112473e-11,5.073051894850891e-06,2.272686878546956e-11,5.073051894850891e-06,0.09898538962102983,5.073051894850891e-06,2.323103762753055e-11
8.36906137935691e-06,4.976555259346941e-11,8.36906137935691e-06,4.661726839219563e-11,8.36906137935691e-06,3.153385667275739e-11,8.36906137935691e-06,2.531639530609143e-11,8.36906137935691e-06,2.652274263507683e-11,8.36906137935691e-06,2.519770067504418e-11,8.36906137935691e-06,2.406196149096835e-11,8.36906137935691e-06,2.297382224255965e-11,8.36906137935691e-06,2.261641172299295e-11,8.36906137935691e-06,0.09832618772412863,8.36906137935691e-06,2.310909865888745e-11
1.272704398532758e-05,4.940332986720585e-11,1.272704398532758e-05,4.629229828526293e-11,1.272704398532758e-05,3.129605729084379e-11,1.272704398532758e-05,2.512728453969511e-11,1.272704398532758e-05,2.639977977004527e-11,1.272704398532758e-05,2.507053850324974e-11,1.272704398532758e-05,2.392961353339618e-11,1.272704398532758e-05,2.283454944070508e-11,1.272704398532758e-05,2.24679654338159e-11,1.272704398532758e-05,0.0974545912029345,1.272704398532758e-05,2.294575707159981e-11
1.876149886595365e-05,4.88880406414469e-11,1.876149886595365e-05,4.583418533421087e-11,1.876149886595365e-05,3.096223086854777e-11,1.876149886595365e-05,2.486216044793735e-11,1.876149886595365e-05,2.6226483707607e-11,1.876149886595365e-05,2.48914551222822e-11,1.876149886595365e-05,2.374348089559194e-11,1.876149886595365e-05,2.263896178694938e-11,1.876149886595365e-05,2.225947531156989e-11,1.876149886595365e-05,0.09624770022680927,1.876149886595365e-05,2.271666123383839e-11
2.692158554717106e-05,4.817531551243834e-11,2.692158554717106e-05,4.520387865393028e-11,2.692158554717106e-05,3.050426968815811e-11,2.692158554717106e-05,2.449880848228332e-11,2.692158554717106e-05,2.59886299752968e-11,2.692158554717106e-05,2.464572498533116e-11,2.692158554717106e-05,2.348821252680613e-11,2.692158554717106e-05,2.237086963380909e-11,2.692158554717106e-05,2.197365517119815e-11,2.692158554717106e-05,0.09461568289056579,2.692158554717106e-05,2.240271563744216e-11
3.692158554717106e-05,4.728310920784505e-11,3.692158554717106e-05,4.441719328917054e-11,3.692158554717106e-05,2.99343141997609e-11,3.692158554717106e-05,2.404686699447554e-11,3.692158554717106e-05,2.56928487085059e-11,3.692158554717106e-05,2.434010406035023e-11,3.692158554717106e-05,2.317071411255641e-11,3.692158554717106e-05,2.203741409536695e-11,3.692158554717106e-05,2.161813373804836e-11,3.692158554717106e-05,0.09261568289056579,3.692158554717106e-05,2.20122417820003e-11
4.692158554717106e-05,4.63718686302847e-11,4.692158554717106e-05,4.361558466315663e-11,4.692158554717106e-05,2.935538066549566e-11,4.692158554717106e-05,2.358804437193538e-11,4.692158554717106e-05,2.539274096039908e-11,4.692158554717106e-05,2.40299129365305e-11,4.692158554717106e-05,2.284839259894839e-11,4.692158554717106e-05,2.169883388341526e-11,4.692158554717106e-05,2.125715723974469e-11,4.692158554717106e-05,0.09061568289056579,4.692158554717106e-05,2.161580284499104e-11
5.692158554717106e-05,4.544210528804504e-11,5.692158554717106e-05,4.279956485815359e-11,5.692158554717106e-05,2.876793698136628e-11,5.692158554717106e-05,2.312270761316416e-11,5.692158554717106e-05,2.508851976008519e-11,5.692158554717106e-05,2.371536195158159e-11,5.692158554717106e-05,2.252146302303875e-11,5.692158554717106e-05,2.13553573303757e-11,5.692158554717106e-05,2.089097740154195e-11,5.692158554717106e-05,0.08861568289056579,5.692158554717106e-05,2.121369452656256e-11
6.692158554717106e-05,4.449432144232204e-11,6.692158554717106e-05,4.196975852894815e-11,6.692158554717106e-05,2.817248411975517e-11,6.692158554717106e-05,2.265123863437667e-11,6.692158554717106e-05,2.478039432025031e-11,6.692158554717106e-05,2.339666582032204e-11,6.692158554717106e-05,2.21901529493046e-11,6.692158554717106e-05,2.100723111021547e-11,6.692158554717106e-05,2.05198611603082e-11,6.692158554717106e-05,0.08661568289056579,6.692158554717106e-05,2.080622810235966e-11
7.692158554717106e-05,4.352917790659079e-11,7.692158554717106e-05,4.112688491029391e-11,7.692158554717106e-05,2.756956476767367e-11,7.692158554717106e-05,2.217404053648499e-11,7.692158554717106e-05,2.446859775913125e-11,7.692158554717106e-05,2.307406225592942e-11,7.692158554717106e-05,2.185471016142036e-11,7.692158554717106e-05,2.065471862978042e-11,7.692158554717106e-05,2.01440939483751e-11,7.692158554717106e-05,0.0846156828905658,7.692158554717106e-05,2.039373171842989e-11
8.692158554717106e-05,4.254743783395883e-11,8.692158554717106e-05,4.027170745435066e-11,8.692158554717106e-05,2.695973848799186e-11,8.692158554717106e-05,2.169152362972439e-11,8.692158554717106e-05,2.41533733014381e-11,8.692158554717106e-05,2.274779752646348e-11,8.692158554717106e-05,2.151538861382517e-11,8.692158554717106e-05,2.029808716360697e-11,8.692158554717106e-05,1.976396644259503e-11,8.692158554717106e-05,0.0826156828905658,8.692158554717106e-05,1.997653812251465e-11
9.692158554717106e-05,4.154991931949198e-11,9.692158554717106e-05,3.940501375599025e-11,9.692158554717106e-05,2.634356887325585e-11,9.692158554717106e-05,2.120409722124961e-11,9.692158554717106e-05,2.383496317751886e-11,9.692158554717106e-05,2.241811630272471e-11,9.692158554717106e-05,2.11724399256619e-11,9.692158554717106e-05,1.993760108225847e-11,9.692158554717106e-05,1.937976691994606e-11,9.692158554717106e-05,0.0806156828905658,9.692158554717106e-05,1.955497773296263e-11
0.0001069215855471711,4.053747703568649e-11,0.0001069215855471711,3.852760971863224e-11,0.0001069215855471711,2.572161871379092e-11,0.0001069215855471711,2.071216603297415e-11,0.0001069215855471711,2.351360406733468e-11,0.0001069215855471711,2.208525763809694e-11,0.0001069215855471711,2.082611007527816e-11,0.0001069215855471711,1.957351916695289e-11,0.0001069215855471711,1.89917781456537e-11,0.0001069215855471711,0.07861568289056579,0.0001069215855471711,1.912937563716764e-11
0.0001169215855471711,3.951099636672609e-11,0.0001169215855471711,3.764031596983863e-11,0.0001169215855471711,2.509444692617783e-11,0.0001169215855471711,2.021612781112793e-11,0.0001169215855471711,2.318952527091993e-11,0.0001169215855471711,2.174945325163809e-11,0.0001169215855471711,2.047663777730459e-11,0.0001169215855471711,1.920609300544775e-11,0.0001169215855471711,1.860027559459871e-11,0.0001169215855471711,0.07661568289056579,0.0001169215855471711,1.870004962154615e-11
0.0001269215855471711,3.847139002414864e-11,0.0001269215855471711,3.674396365450326e-11,0.0001269215855471711,2.446260540465374e-11,0.0001269215855471711,1.971637099144736e-11,0.0001269215855471711,2.286294740642476e-11,0.0001269215855471711,2.14109261909195e-11,0.0001269215855471711,2.012425306922321e-11,0.0001269215855471711,1.883556546163036e-11,0.0001269215855471711,1.82055258065859e-11,0.0001269215855471711,0.07461568289056579,0.0001269215855471711,1.826730826853965e-11
