/I_135/OUTA X,/I_135/OUTA Y,/I_270/OUTA X,/I_270/OUTA Y,/I_405/OUTA X,/I_405/OUTA Y,/I_540/OUTA X,/I_540/OUTA Y,/I_675/OUTA X,/I_675/OUTA Y,/I_1350/OUTA X,/I_1350/OUTA Y,/I_1215/OUTA X,/I_1215/OUTA Y,/I_1080/OUTA X,/I_1080/OUTA Y,/I_945/OUTA X,/I_945/OUTA Y,/I_810/OUTA X,/I_810/OUTA Y,/I_135/IN X,/I_135/IN Y
0,-2.247739276185141e-12,0,-7.06655701610095e-12,0,-1.317697225817789e-11,0,-1.937732419741166e-11,0,-2.529192812474395e-11,0,-4.872444800728024e-11,0,-4.473250480661152e-11,0,-4.052877311859454e-11,0,-3.605951895958637e-11,0,-3.084726527367626e-11,0,-2e-10
1e-06,-2.247764603272924e-12,1e-06,-7.066834721724113e-12,1e-06,-1.317752798313017e-11,1e-06,-1.937811380630266e-11,1e-06,-2.529290073551861e-11,1e-06,-4.872581116629538e-11,1e-06,-4.473383450366919e-11,1e-06,-4.053005622249971e-11,1e-06,-3.606073818369045e-11,1e-06,-3.08483779915124e-11,1e-06,-1.996e-10
2.890367486090477e-06,-2.248314195555478e-12,2.890367486090477e-06,-7.068908801055582e-12,2.890367486090477e-06,-1.318128010714326e-11,2.890367486090477e-06,-1.938331754677647e-11,2.890367486090477e-06,-2.529928428148907e-11,2.890367486090477e-06,-4.873510429489713e-11,2.890367486090477e-06,-4.474281635013166e-11,2.890367486090477e-06,-4.053864287580712e-11,2.890367486090477e-06,-3.606881976540803e-11,2.890367486090477e-06,-3.08557057567251e-11,2.890367486090477e-06,-1.988438530055638e-10
4.763282605352113e-06,-2.249222500710136e-12,4.763282605352113e-06,-7.071857334298754e-12,4.763282605352113e-06,-1.318648273846868e-11,4.763282605352113e-06,-1.939050825480575e-11,4.763282605352113e-06,-2.530813165359659e-11,4.763282605352113e-06,-4.874839953580684e-11,4.763282605352113e-06,-4.475558316135953e-11,4.763282605352113e-06,-4.055076497609744e-11,4.763282605352113e-06,-3.608014876945811e-11,4.763282605352113e-06,-3.086591559938699e-11,4.763282605352113e-06,-1.980946869578592e-10
8.196775609434306e-06,-2.251482052406694e-12,8.196775609434306e-06,-7.07876819617614e-12,8.196775609434306e-06,-1.319862276860995e-11,8.196775609434306e-06,-1.940741190629656e-11,8.196775609434306e-06,-2.532915792427739e-11,8.196775609434306e-06,-4.87818670522157e-11,8.196775609434306e-06,-4.478737968089538e-11,8.196775609434306e-06,-4.058061627892326e-11,8.196775609434306e-06,-3.610771601695905e-11,8.196775609434306e-06,-3.089046852032794e-11,8.196775609434306e-06,-1.967212897562263e-10
1.506376161759869e-05,-2.256592833155246e-12,1.506376161759869e-05,-7.094244925755555e-12,1.506376161759869e-05,-1.32259887788608e-11,1.506376161759869e-05,-1.944595191081665e-11,1.506376161759869e-05,-2.537771506166612e-11,1.506376161759869e-05,-4.886415006093068e-11,1.506376161759869e-05,-4.486463742698532e-11,1.506376161759869e-05,-4.065226238768375e-11,1.506376161759869e-05,-3.617304211779318e-11,1.506376161759869e-05,-3.094791246245665e-11,1.506376161759869e-05,-1.939744953529605e-10
2.506376161759869e-05,-2.264362715334999e-12,2.506376161759869e-05,-7.117815432230237e-12,2.506376161759869e-05,-1.326783051197663e-11,2.506376161759869e-05,-1.950519141862436e-11,2.506376161759869e-05,-2.545279496957048e-11,2.506376161759869e-05,-4.899570568353177e-11,2.506376161759869e-05,-4.498729938539078e-11,2.506376161759869e-05,-4.07652305888406e-11,2.506376161759869e-05,-3.627534642043556e-11,2.506376161759869e-05,-3.103729099840644e-11,2.506376161759869e-05,-1.899744953529605e-10
3.506376161759869e-05,-2.272397077591081e-12,3.506376161759869e-05,-7.142196786260035e-12,3.506376161759869e-05,-1.331111521675439e-11,3.506376161759869e-05,-1.956649215747826e-11,3.506376161759869e-05,-2.55305297933036e-11,3.506376161759869e-05,-4.913284568845613e-11,3.506376161759869e-05,-4.511492940946645e-11,3.506376161759869e-05,-4.088258116446937e-11,3.506376161759869e-05,-3.638147118517652e-11,3.506376161759869e-05,-3.112990590611084e-11,3.506376161759869e-05,-1.859744953529605e-10
4.506376161759869e-05,-2.280727378521809e-12,4.506376161759869e-05,-7.167461426547758e-12,4.506376161759869e-05,-1.335593778240353e-11,4.506376161759869e-05,-1.962992825613747e-11,4.506376161759869e-05,-2.561092190736743e-11,4.506376161759869e-05,-4.927438644475139e-11,4.506376161759869e-05,-4.524668502789431e-11,4.506376161759869e-05,-4.100376428282333e-11,4.506376161759869e-05,-3.649110725111481e-11,4.506376161759869e-05,-3.122563247591084e-11,4.506376161759869e-05,-1.819744953529605e-10
5.506376161759869e-05,-2.289383603620342e-12,5.506376161759869e-05,-7.193699946067688e-12,5.506376161759869e-05,-1.340246829800123e-11,5.506376161759869e-05,-1.969575660588899e-11,5.506376161759869e-05,-2.56943147460368e-11,5.506376161759869e-05,-4.942091878101546e-11,5.506376161759869e-05,-4.538314245466333e-11,5.506376161759869e-05,-4.112932303260832e-11,5.506376161759869e-05,-3.66047477777971e-11,5.506376161759869e-05,-3.132489441444631e-11,5.506376161759869e-05,-1.779744953529605e-10
