/I_270/OUTA X,/I_270/OUTA Y,/I_405/OUTA X,/I_405/OUTA Y,/I_540/OUTA X,/I_540/OUTA Y,/I_675/OUTA X,/I_675/OUTA Y,/I_810/OUTA X,/I_810/OUTA Y,/I_945/OUTA X,/I_945/OUTA Y,/I_1080/OUTA X,/I_1080/OUTA Y,/I_1215/OUTA X,/I_1215/OUTA Y,/I_1350/IN X,/I_1350/IN Y
0,2.912321828813705e-11,0,3.289820835413403e-11,0,3.851659085101186e-11,0,4.560231925817534e-11,0,5.238043961189176e-11,0,5.883558280569327e-11,0,6.497659023873797e-11,0,7.081988880719647e-11,0,-2e-10
1e-06,2.912334334947487e-11,1e-06,3.289833967400061e-11,1e-06,3.85167357870113e-11,1e-06,4.560248242631429e-11,1e-06,5.238061854299848e-11,1e-06,5.883577057825011e-11,1e-06,6.497679267272422e-11,1e-06,7.082009982367114e-11,1e-06,-1.996e-10
3e-06,2.912475924024e-11,3e-06,3.289987039938046e-11,3e-06,3.851845741023596e-11,3e-06,4.560444302358491e-11,3e-06,5.238278929778567e-11,3e-06,5.88381252830762e-11,3e-06,6.497930594537072e-11,3e-06,7.082275062149093e-11,3e-06,-1.988e-10
5.124216042947847e-06,2.912700374148466e-11,5.124216042947847e-06,3.290231911965255e-11,5.124216042947847e-06,3.852122829476103e-11,5.124216042947847e-06,4.560761088448994e-11,5.124216042947847e-06,5.238631034856797e-11,5.124216042947847e-06,5.884195816912083e-11,5.124216042947847e-06,6.498341284838055e-11,5.124216042947847e-06,7.082709756277697e-11,5.124216042947847e-06,-1.979503135828209e-10
8.457928868626991e-06,2.913170706435241e-11,8.457928868626991e-06,3.29074976253402e-11,8.457928868626991e-06,3.852712635469373e-11,8.457928868626991e-06,4.561438401940521e-11,8.457928868626991e-06,5.239387137883371e-11,8.457928868626991e-06,5.885022340438246e-11,8.457928868626991e-06,6.499230504733989e-11,8.457928868626991e-06,7.083654649593331e-11,8.457928868626991e-06,-1.966168284525492e-10
1.512535451998528e-05,2.914256358342426e-11,1.512535451998528e-05,3.291952129833286e-11,1.512535451998528e-05,3.854088074909476e-11,1.512535451998528e-05,4.563022744700188e-11,1.512535451998528e-05,5.24116086348894e-11,1.512535451998528e-05,5.886966508342926e-11,1.512535451998528e-05,6.501327520347066e-11,1.512535451998528e-05,7.085888441891293e-11,1.512535451998528e-05,-1.939498581920059e-10
2.512535451998528e-05,2.915978964868478e-11,2.512535451998528e-05,3.293863508734471e-11,2.512535451998528e-05,3.856277687749359e-11,2.512535451998528e-05,4.565547326457267e-11,2.512535451998528e-05,5.243989558202105e-11,2.512535451998528e-05,5.890069311916955e-11,2.512535451998528e-05,6.504676535391693e-11,2.512535451998528e-05,7.089458178694029e-11,2.512535451998528e-05,-1.899498581920059e-10
3.512535451998528e-05,2.917764012971571e-11,3.512535451998528e-05,3.295844233028128e-11,3.512535451998528e-05,3.85854677247151e-11,3.512535451998528e-05,4.568163493730419e-11,3.512535451998528e-05,5.246920758160374e-11,3.512535451998528e-05,5.893284399579239e-11,3.512535451998528e-05,6.508146565851427e-11,3.512535451998528e-05,7.093156714856598e-11,3.512535451998528e-05,-1.859498581920059e-10
4.512535451998528e-05,2.919615677324134e-11,4.512535451998528e-05,3.297898454933823e-11,4.512535451998528e-05,3.860899667207674e-11,4.512535451998528e-05,4.570875948144333e-11,4.512535451998528e-05,5.249959490883173e-11,4.512535451998528e-05,5.896617081610114e-11,4.512535451998528e-05,6.511743158399467e-11,4.512535451998528e-05,7.096989785703793e-11,4.512535451998528e-05,-1.819498581920059e-10
5.512535451998528e-05,2.92154273645579e-11,5.512535451998528e-05,3.300036132569466e-11,5.512535451998528e-05,3.863347967944198e-11,5.512535451998528e-05,4.573698210167475e-11,5.512535451998528e-05,5.253121062354988e-11,5.512535451998528e-05,5.900084306005403e-11,5.512535451998528e-05,6.515484765872876e-11,5.512535451998528e-05,7.100977221817875e-11,5.512535451998528e-05,-1.779498581920059e-10
