/I_135/OUTA X,/I_135/OUTA Y,/I_270/OUTA X,/I_270/OUTA Y,/I_405/OUTA X,/I_405/OUTA Y,/I_540/OUTA X,/I_540/OUTA Y,/I_675/OUTA X,/I_675/OUTA Y,/I_1350/OUTA X,/I_1350/OUTA Y,/I_1215/OUTA X,/I_1215/OUTA Y,/I_1080/OUTA X,/I_1080/OUTA Y,/I_945/OUTA X,/I_945/OUTA Y,/I_810/OUTA X,/I_810/OUTA Y,/I_135/IN X,/I_135/IN Y
0,-7.643008332141829e-12,0,-2.18426869202492e-11,0,-3.805366357309894e-11,0,-5.336207272224874e-11,0,-6.717261370346641e-11,0,-1.157774881283165e-10,0,-1.080977347564516e-10,0,-9.977005602701452e-11,0,-9.062046866213386e-11,0,-7.952608161571322e-11,0,-2e-10
1e-06,-7.643079941260101e-12,1e-06,-2.184293195650344e-11,1e-06,-3.80540532846597e-11,1e-06,-5.336255655603118e-11,1e-06,-6.717316564813429e-11,1e-06,-1.157780768423802e-10,1e-06,-1.080983375778755e-10,1e-06,-9.977066288774005e-11,1e-06,-9.062106734946791e-11,1e-06,-7.952666758051975e-11,1e-06,-1.996e-10
3e-06,-7.643747164068079e-12,3e-06,-2.184495094984563e-11,3e-06,-3.805740098791025e-11,3e-06,-5.336693489694352e-11,3e-06,-6.71784655432379e-11,3e-06,-1.157852765472842e-10,3e-06,-1.081053863330909e-10,3e-06,-9.977747268842296e-11,3e-06,-9.062745235857497e-11,3e-06,-7.95325987360594e-11,3e-06,-1.988e-10
5.110444483140459e-06,-7.644768327585228e-12,5.110444483140459e-06,-2.18477447953716e-11,5.110444483140459e-06,-3.806194892731077e-11,5.110444483140459e-06,-5.337288993666828e-11,5.110444483140459e-06,-6.718561672889512e-11,5.110444483140459e-06,-1.157952268751713e-10,5.110444483140459e-06,-1.081150486274301e-10,5.110444483140459e-06,-9.978674696972063e-11,5.110444483140459e-06,-9.063616239914675e-11,5.110444483140459e-06,-7.954063389012762e-11,5.110444483140459e-06,-1.979558222067438e-10
8.540337865084127e-06,-7.646741155825428e-12,8.540337865084127e-06,-2.185287573724838e-11,8.540337865084127e-06,-3.807022655155291e-11,8.540337865084127e-06,-5.33837806311376e-11,8.540337865084127e-06,-6.719866008353217e-11,8.540337865084127e-06,-1.158139115034981e-10,8.540337865084127e-06,-1.081330466592875e-10,8.540337865084127e-06,-9.980390628298027e-11,8.540337865084127e-06,-9.065226716499497e-11,8.540337865084127e-06,-7.955537573038322e-11,8.540337865084127e-06,-1.965838648539664e-10
1.540012462897146e-05,-7.650857733229411e-12,1.540012462897146e-05,-2.186340672589209e-11,1.540012462897146e-05,-3.808719992608765e-11,1.540012462897146e-05,-5.340621251631454e-11,1.540012462897146e-05,-6.722554472327297e-11,1.540012462897146e-05,-1.158530192633726e-10,1.540012462897146e-05,-1.081705746372623e-10,1.540012462897146e-05,-9.983957197687635e-11,1.540012462897146e-05,-9.068571104082228e-11,1.540012462897146e-05,-7.958586918693857e-11,1.540012462897146e-05,-1.938399501484114e-10
2.540012462897146e-05,-7.657021950702849e-12,2.540012462897146e-05,-2.187912248855156e-11,2.540012462897146e-05,-3.811257095580948e-11,2.540012462897146e-05,-5.343979336206905e-11,2.540012462897146e-05,-6.726581536777467e-11,2.540012462897146e-05,-1.159116836690742e-10,2.540012462897146e-05,-1.082268518773356e-10,2.540012462897146e-05,-9.989304553161975e-11,2.540012462897146e-05,-9.073584721498706e-11,2.540012462897146e-05,-7.963156722822461e-11,2.540012462897146e-05,-1.898399501484114e-10
3.540012462897146e-05,-7.663420670952964e-12,3.540012462897146e-05,-2.189543352193917e-11,3.540012462897146e-05,-3.813892008525322e-11,3.540012462897146e-05,-5.347466625836156e-11,3.540012462897146e-05,-6.730763433399063e-11,3.540012462897146e-05,-1.159725361107258e-10,3.540012462897146e-05,-1.082852428645242e-10,3.540012462897146e-05,-9.994854044382834e-11,3.540012462897146e-05,-9.078788319856807e-11,3.540012462897146e-05,-7.9679010434831e-11,3.540012462897146e-05,-1.858399501484114e-10
4.540012462897146e-05,-7.670079546637262e-12,4.540012462897146e-05,-2.191241179330931e-11,4.540012462897146e-05,-3.816634456606995e-11,4.540012462897146e-05,-5.351095395633326e-11,4.540012462897146e-05,-6.73511450208004e-11,4.540012462897146e-05,-1.160358216497026e-10,4.540012462897146e-05,-1.083459739027911e-10,4.540012462897146e-05,-1.000062638734882e-10,4.540012462897146e-05,-9.084201158797132e-11,4.540012462897146e-05,-7.972836672586473e-11,4.540012462897146e-05,-1.818399501484114e-10
5.540012462897146e-05,-7.677015132266925e-12,5.540012462897146e-05,-2.193009674266666e-11,5.540012462897146e-05,-3.819490541691178e-11,5.540012462897146e-05,-5.354874067304229e-11,5.540012462897146e-05,-6.739644989731995e-11,5.540012462897146e-05,-1.161017037039456e-10,5.540012462897146e-05,-1.084091986598147e-10,5.540012462897146e-05,-1.000663594291593e-10,5.540012462897146e-05,-9.089836632211464e-11,5.540012462897146e-05,-7.977975540992657e-11,5.540012462897146e-05,-1.778399501484114e-10
