/I_135/OUTA X,/I_135/OUTA Y,/I_270/OUTA X,/I_270/OUTA Y,/I_405/OUTA X,/I_405/OUTA Y,/I_540/OUTA X,/I_540/OUTA Y,/I_675/OUTA X,/I_675/OUTA Y,/I_810/OUTA X,/I_810/OUTA Y,/I_945/OUTA X,/I_945/OUTA Y,/I_1080/OUTA X,/I_1080/OUTA Y,/I_1215/OUTA X,/I_1215/OUTA Y,/I_1350/OUTA X,/I_1350/OUTA Y,/I_135/IN X,/I_135/IN Y
0,5.268393352225181e-11,0,4.107048862171583e-11,0,4.610399846851503e-11,0,5.352740971578502e-11,0,6.276391022528807e-11,0,7.144639562800971e-11,0,7.95650144659361e-11,0,8.717394046536346e-11,0,9.429010085992179e-11,0,1.00973105252564e-10,0,-2e-10
1e-06,5.26837044384401e-11,1e-06,4.107031738124049e-11,1e-06,4.610382010810338e-11,1e-06,5.352721972400531e-11,1e-06,6.276369570966896e-11,1e-06,7.144616931191028e-11,1e-06,7.956478041592624e-11,1e-06,8.717369510977986e-11,1e-06,9.428985252068556e-11,1e-06,1.009728585120583e-10,1e-06,-1.996e-10
3e-06,5.268458092136674e-11,3e-06,4.107098119181594e-11,3e-06,4.610451817406802e-11,3e-06,5.352797161252093e-11,3e-06,6.276454363139935e-11,3e-06,7.144707005759901e-11,3e-06,7.956571806758827e-11,3e-06,8.717468084120247e-11,3e-06,9.429085888264839e-11,3e-06,1.009738669113333e-10,3e-06,-1.988e-10
5.110376074989633e-06,5.268720334918634e-11,5.110376074989633e-06,4.107300608184948e-11,5.110376074989633e-06,4.610667295953286e-11,5.110376074989633e-06,5.353031883400683e-11,5.110376074989633e-06,6.276718883464125e-11,5.110376074989633e-06,7.144990283400367e-11,5.110376074989633e-06,7.956868960946231e-11,5.110376074989633e-06,8.717780723625388e-11,5.110376074989633e-06,9.429406758411948e-11,5.110376074989633e-06,1.009771076013914e-10,5.110376074989633e-06,-1.979558495700041e-10
8.540426396422359e-06,5.269581111856675e-11,8.540426396422359e-06,4.10797882572552e-11,8.540426396422359e-06,4.611398979392826e-11,8.540426396422359e-06,5.353840748539627e-11,8.540426396422359e-06,6.277630758222374e-11,8.540426396422359e-06,7.145977509041008e-11,8.540426396422359e-06,7.957915870332768e-11,8.540426396422359e-06,8.718885205544847e-11,8.540426396422359e-06,9.430550077165262e-11,8.540426396422359e-06,1.009887886213365e-10,8.540426396422359e-06,-1.965838294414311e-10
1.540052703928781e-05,5.272109892132557e-11,1.540052703928781e-05,4.109996830403109e-11,1.540052703928781e-05,4.613600203798622e-11,1.540052703928781e-05,5.356305642233777e-11,1.540052703928781e-05,6.280414546201139e-11,1.540052703928781e-05,7.149021559015382e-11,1.540052703928781e-05,7.961176637274283e-11,1.540052703928781e-05,8.722337513008302e-11,1.540052703928781e-05,9.434153098940698e-11,1.540052703928781e-05,1.010259941244618e-10,1.540052703928781e-05,-1.938397891842849e-10
2.540052703928781e-05,5.276393172513542e-11,2.540052703928781e-05,4.113428090120837e-11,2.540052703928781e-05,4.617363724134293e-11,2.540052703928781e-05,5.360547992182379e-11,2.540052703928781e-05,6.285213060401555e-11,2.540052703928781e-05,7.154295685103487e-11,2.540052703928781e-05,7.966855362867942e-11,2.540052703928781e-05,8.728362143900302e-11,2.540052703928781e-05,9.440467120257207e-11,2.540052703928781e-05,1.010915446356965e-10,2.540052703928781e-05,-1.898397891842849e-10
3.540052703928781e-05,5.280893100630591e-11,3.540052703928781e-05,4.117033205966183e-11,3.540052703928781e-05,4.621323538477639e-11,3.540052703928781e-05,5.365019084966549e-11,3.540052703928781e-05,6.290272835916206e-11,3.540052703928781e-05,7.159863710424701e-11,3.540052703928781e-05,7.972857723617859e-11,3.540052703928781e-05,8.734733251720434e-11,3.540052703928781e-05,9.447150804861692e-11,3.540052703928781e-05,1.011610198192211e-10,3.540052703928781e-05,-1.858397891842849e-10
4.540052703928781e-05,5.285522011570048e-11,4.540052703928781e-05,4.120740457457217e-11,4.540052703928781e-05,4.625394970829579e-11,4.540052703928781e-05,5.369615311484413e-11,4.540052703928781e-05,6.295473942027725e-11,4.540052703928781e-05,7.165586126037399e-11,4.540052703928781e-05,7.979025286479345e-11,4.540052703928781e-05,8.741279044835638e-11,4.540052703928781e-05,9.454016631571037e-11,4.540052703928781e-05,1.01232374306779e-10,4.540052703928781e-05,-1.818397891842849e-10
5.540052703928781e-05,5.290301069500289e-11,5.540052703928781e-05,4.124567785357258e-11,5.540052703928781e-05,4.62959710861469e-11,5.540052703928781e-05,5.374357473759382e-11,5.540052703928781e-05,6.300839436080697e-11,5.540052703928781e-05,7.171487753383817e-11,5.540052703928781e-05,7.985384258323566e-11,5.540052703928781e-05,8.748027025908078e-11,5.540052703928781e-05,9.461092931439011e-11,5.540052703928781e-05,1.013058961506382e-10,5.540052703928781e-05,-1.778397891842849e-10
6.540052703928781e-05,5.295256004518802e-11,6.540052703928781e-05,4.128536235285138e-11,6.540052703928781e-05,4.633953590418178e-11,6.540052703928781e-05,5.379272997987722e-11,6.540052703928781e-05,6.306400529156052e-11,6.540052703928781e-05,7.177603653068757e-11,6.540052703928781e-05,7.991973202313326e-11,6.540052703928781e-05,8.755018438983655e-11,6.540052703928781e-05,9.468423656662459e-11,6.540052703928781e-05,1.013820515155927e-10,6.540052703928781e-05,-1.738397891842849e-10
7.540052703928781e-05,5.300403533209906e-11,7.540052703928781e-05,4.132659243923024e-11,7.540052703928781e-05,4.638479484118406e-11,7.540052703928781e-05,5.384379300226943e-11,7.540052703928781e-05,6.312177042497085e-11,7.540052703928781e-05,7.183955977800322e-11,7.540052703928781e-05,7.998816358702512e-11,7.540052703928781e-05,8.76227914829944e-11,7.540052703928781e-05,9.47603626131032e-11,7.540052703928781e-05,1.014611301552027e-10,7.540052703928781e-05,-1.698397891842849e-10
8.540052703928781e-05,5.305756479160086e-11,8.540052703928781e-05,4.136947079312012e-11,8.540052703928781e-05,4.643186123343771e-11,8.540052703928781e-05,5.389689235835866e-11,8.540052703928781e-05,6.318183514297387e-11,8.540052703928781e-05,7.190560748346442e-11,8.540052703928781e-05,8.005931021853821e-11,8.540052703928781e-05,8.769827493499796e-11,8.540052703928781e-05,9.483950003249057e-11,8.540052703928781e-05,1.015433326335822e-10,8.540052703928781e-05,-1.658397891842849e-10
9.540052703928781e-05,5.311327625177141e-11,9.540052703928781e-05,4.14141000340846e-11,9.540052703928781e-05,4.648084743181639e-11,9.540052703928781e-05,5.395215432774746e-11,9.540052703928781e-05,6.324434176992164e-11,9.540052703928781e-05,7.197433549399985e-11,9.540052703928781e-05,8.013333912649606e-11,9.540052703928781e-05,8.777681156191034e-11,9.540052703928781e-05,9.492183355883437e-11,9.540052703928781e-05,1.016288501557135e-10,9.540052703928781e-05,-1.618397891842849e-10
0.0001054005270392878,5.317130963895298e-11,0.0001054005270392878,4.146059263584356e-11,0.0001054005270392878,4.653187648514045e-11,0.0001054005270392878,5.400971712793544e-11,0.0001054005270392878,6.330944603206715e-11,0.0001054005270392878,7.204591427456002e-11,0.0001054005270392878,8.021043314409854e-11,0.0001054005270392878,8.785859466575569e-11,0.0001054005270392878,9.500756509074246e-11,0.0001054005270392878,1.017178916324528e-10,0.0001054005270392878,-1.578397891842849e-10
0.0001154005270392878,5.323181921990784e-11,0.0001154005270392878,4.150907262389929e-11,0.0001154005270392878,4.658508415539407e-11,0.0001154005270392878,5.406973335808211e-11,0.0001154005270392878,6.33773198840933e-11,0.0001154005270392878,7.212053213766858e-11,0.0001154005270392878,8.029079433362939e-11,0.0001154005270392878,8.794383790846416e-11,0.0001154005270392878,9.509691786812224e-11,0.0001154005270392878,1.018106881658342e-10,0.0001154005270392878,-1.538397891842849e-10
0.0001254005270392878,5.329497425439758e-11,0.0001254005270392878,4.155967608582085e-11,0.0001254005270392878,4.664061944291877e-11,0.0001254005270392878,5.413237053737577e-11,0.0001254005270392878,6.344815209074674e-11,0.0001254005270392878,7.219839582726628e-11,0.0001254005270392878,8.037464455885201e-11,0.0001254005270392878,8.803277588733147e-11,0.0001254005270392878,9.519013702500198e-11,0.0001254005270392878,1.019074935572631e-10,0.0001254005270392878,-1.498397891842849e-10
