/I0/OUT (VY=-0.1) X,/I0/OUT (VY=-0.1) Y,/I0/OUT (VY=-0.08947368) X,/I0/OUT (VY=-0.08947368) Y,/I0/OUT (VY=-0.07894737) X,/I0/OUT (VY=-0.07894737) Y,/I0/OUT (VY=-0.06842105) X,/I0/OUT (VY=-0.06842105) Y,/I0/OUT (VY=-0.05789474) X,/I0/OUT (VY=-0.05789474) Y,/I0/OUT (VY=-0.04736842) X,/I0/OUT (VY=-0.04736842) Y,/I0/OUT (VY=-0.03684211) X,/I0/OUT (VY=-0.03684211) Y,/I0/OUT (VY=-0.02631579) X,/I0/OUT (VY=-0.02631579) Y,/I0/OUT (VY=-0.01578947) X,/I0/OUT (VY=-0.01578947) Y,/I0/OUT (VY=-0.005263158) X,/I0/OUT (VY=-0.005263158) Y,/I0/OUT (VY=0.005263158) X,/I0/OUT (VY=0.005263158) Y,/I0/OUT (VY=0.01578947) X,/I0/OUT (VY=0.01578947) Y,/I0/OUT (VY=0.02631579) X,/I0/OUT (VY=0.02631579) Y,/I0/OUT (VY=0.03684211) X,/I0/OUT (VY=0.03684211) Y,/I0/OUT (VY=0.04736842) X,/I0/OUT (VY=0.04736842) Y,/I0/OUT (VY=0.05789474) X,/I0/OUT (VY=0.05789474) Y,/I0/OUT (VY=0.06842105) X,/I0/OUT (VY=0.06842105) Y,/I0/OUT (VY=0.07894737) X,/I0/OUT (VY=0.07894737) Y,/I0/OUT (VY=0.08947368) X,/I0/OUT (VY=0.08947368) Y,/I0/OUT (VY=0.1) X,/I0/OUT (VY=0.1) Y
0,-1.49862579651116e-11,0,-1.516652553843983e-11,0,-1.541451702409599e-11,0,-1.573628755218363e-11,0,-1.613072664627632e-11,0,-1.658945048600635e-11,0,-1.709865304198392e-11,0,-1.7642974229623e-11,0,-1.820958400222478e-11,0,-1.878684113207724e-11,0,-1.936031605705114e-11,0,-1.993002364177817e-11,0,-2.049723163784443e-11,0,-2.106030537873993e-11,0,-2.161292732145264e-11,0,-2.214286693093427e-11,0,-2.263572639618991e-11,0,-2.30800853233573e-11,0,-2.346828245514743e-11,0,-2.379780644768612e-11
1e-06,-1.498650412954747e-11,1e-06,-1.516669464440909e-11,1e-06,-1.541460360434708e-11,1e-06,-1.573628595228567e-11,1e-06,-1.613063184898801e-11,1e-06,-1.658925950378408e-11,1e-06,-1.709836615633773e-11,1e-06,-1.764259546021838e-11,1e-06,-1.820912067768322e-11,1e-06,-1.878630745459032e-11,1e-06,-1.9359726741616e-11,1e-06,-1.992939222867214e-11,1e-06,-2.049657213353846e-11,1e-06,-2.105963237040729e-11,1e-06,-2.161225564324459e-11,1e-06,-2.214221007722949e-11,1e-06,-2.263509677122489e-11,1e-06,-2.3079491823586e-11,1e-06,-2.346772977545935e-11,1e-06,-2.379729524065412e-11
1.9855215075402e-06,-1.498726206318379e-11,1.985464845920934e-06,-1.516722449135078e-11,1.985406311493862e-06,-1.541488723120541e-11,1.985347605564998e-06,-1.573630622408686e-11,1.985290168348509e-06,-1.613037567375645e-11,1.985235031646366e-06,-1.65887220120374e-11,1.985182857423536e-06,-1.709755371786986e-11,1.985134134520199e-06,-1.764152593698012e-11,1.985089309343691e-06,-1.82078210499367e-11,1.98504860593037e-06,-1.878482612720554e-11,1.985011828880989e-06,-1.935811046405986e-11,1.984978499996509e-06,-1.992768097344078e-11,1.98494787567575e-06,-2.04948055811245e-11,1.984919342251764e-06,-2.105785008875147e-11,1.984892510476944e-06,-2.161049600209353e-11,1.98486720527819e-06,-2.214050468064261e-11,1.984843467794458e-06,-2.263347454634344e-11,1.984821486294434e-06,-2.30779717606054e-11,1.984801517788749e-06,-2.346631997378675e-11,1.984783805989179e-06,-2.379599407959366e-11
3.023470883030762e-06,-1.498850291994007e-11,3.023397636194388e-06,-1.516809527029833e-11,3.023321967609646e-06,-1.541535668584587e-11,3.023246076547647e-06,-1.573634599588577e-11,3.023171824841486e-06,-1.612996582579751e-11,3.0231005464171e-06,-1.658785792488205e-11,3.023033097132946e-06,-1.709625044782691e-11,3.022970109059166e-06,-1.763981762601774e-11,3.022912159423485e-06,-1.820575608473325e-11,3.022859537979369e-06,-1.878248920224231e-11,3.022811992224754e-06,-1.935558062826599e-11,3.022768904031134e-06,-1.992502311323603e-11,3.022729312126919e-06,-2.049208269222143e-11,3.022692423197619e-06,-2.105512343015242e-11,3.022657734047883e-06,-2.160782324031133e-11,3.022625018365936e-06,-2.213792979140532e-11,3.022594329364532e-06,-2.263103795884327e-11,3.022565910473343e-06,-2.307569811270817e-11,3.022540093997424e-06,-2.346421750421248e-11,3.022517195050804e-06,-2.379405711760996e-11
5.042528145729253e-06,-1.499238211230355e-11,5.099263216741296e-06,-1.517089476282716e-11,5.099153279841215e-06,-1.541683747417555e-11,5.099043018512944e-06,-1.573641358351547e-11,5.055396425772779e-06,-1.612860116931229e-11,4.896433873440456e-06,-1.658532637510633e-11,4.737637810070716e-06,-1.70928637357685e-11,4.570702003831026e-06,-1.763592674833882e-11,4.38055338347678e-06,-1.820175634418699e-11,4.461469699963374e-06,-1.877771812350613e-11,4.647763290553832e-06,-1.934974340487732e-11,4.707118143335935e-06,-1.991874024866185e-11,4.586627832832596e-06,-2.048624687037141e-11,4.452733075255698e-06,-2.104990226646309e-11,4.296129821431929e-06,-2.160336908573226e-11,4.429624564852065e-06,-2.213320130144406e-11,4.551891989545552e-06,-2.262619284321625e-11,4.655766698726459e-06,-2.307088850479405e-11,4.745105681106604e-06,-2.345953964668206e-11,4.82177381695444e-06,-2.378956099744976e-11
8.473850894190326e-06,-1.50011805933996e-11,8.565573536548751e-06,-1.517706517751249e-11,8.262232056506758e-06,-1.541970166552452e-11,7.983597730504883e-06,-1.573634354065351e-11,7.66406803064951e-06,-1.612606601951083e-11,7.200433903084278e-06,-1.658102535911095e-11,6.760926310820948e-06,-1.708748039609873e-11,6.320964043405854e-06,-1.763012835208079e-11,5.842630278000894e-06,-1.819620855947728e-11,6.036898376519078e-06,-1.877106464340892e-11,6.506760408399843e-06,-1.934134544209415e-11,6.659864136949437e-06,-1.9909746998489e-11,6.350755644038653e-06,-2.047827577283586e-11,6.01603297598792e-06,-2.104311377553005e-11,5.635054378169273e-06,-2.159788749056323e-11,5.966862032094646e-06,-2.212723263439442e-11,6.277138193275474e-06,-2.261996566671141e-11,6.548781442567484e-06,-2.306461636404299e-11,6.789019840156406e-06,-2.345335476909211e-11,7.000516377129792e-06,-2.378353308203046e-11
1.292309453174456e-05,-1.501379050194879e-11,1.303488061042281e-05,-1.518583072130802e-11,1.232609210830362e-05,-1.542370779580751e-11,1.168791279212263e-05,-1.57361492253604e-11,1.103941175142059e-05,-1.612231645955455e-11,1.022184359280241e-05,-1.657461388495042e-11,9.30186730548879e-06,-1.707980389943244e-11,8.43481965126563e-06,-1.76221884388204e-11,7.542419602609914e-06,-1.818891035638721e-11,7.884025361685162e-06,-1.876238269283849e-11,8.761018445901263e-06,-1.933028582172522e-11,9.05518697290881e-06,-1.989799731731804e-11,8.466920807972851e-06,-2.04681973686741e-11,7.84856010309666e-06,-2.103479798915296e-11,7.164146060392565e-06,-2.159137645540497e-11,7.777450767175438e-06,-2.212007709216925e-11,8.363169725251771e-06,-2.261244566902258e-11,8.894499233847286e-06,-2.3056964783799e-11,9.380611468832294e-06,-2.34457080122711e-11,9.822321070675089e-06,-2.377596187979168e-11
1.98395065462992e-05,-1.503415034790214e-11,1.988931197618004e-05,-1.519996577992051e-11,1.824095768805443e-05,-1.543001308903683e-11,1.682883551388433e-05,-1.573616641256908e-11,1.552179034368448e-05,-1.611744417271276e-11,1.409778450382311e-05,-1.656629488217185e-11,1.262647649030353e-05,-1.706948733282022e-11,1.126352742054921e-05,-1.761116138522307e-11,9.795886022662067e-06,-1.817877645255262e-11,1.037277005370622e-05,-1.875029806977044e-11,1.17627906536086e-05,-1.931537303575587e-11,1.222706940607815e-05,-1.988243661662353e-11,1.130169210051185e-05,-2.045479632245683e-11,1.031716832819149e-05,-2.102376179355384e-11,9.140927761892568e-06,-2.158311888772478e-11,1.023291150571487e-05,-2.211070521601744e-11,1.114594697596287e-05,-2.260283994052669e-11,1.197945468750496e-05,-2.304736106786831e-11,1.274625899485758e-05,-2.343622661559197e-11,1.345163385765814e-05,-2.376664094181721e-11
2.983950654629921e-05,-1.506523609102431e-11,2.988931197618004e-05,-1.522217713805142e-11,2.824095768805443e-05,-1.544213164987487e-11,2.56237591718961e-05,-1.573730764550834e-11,2.265472161762423e-05,-1.61104371392274e-11,1.98495930818905e-05,-1.655441197833342e-11,1.727216894047828e-05,-1.705530006700683e-11,1.502262127257618e-05,-1.7596547928927e-11,1.273025671084449e-05,-1.816547579539462e-11,1.357530490129827e-05,-1.873470330140289e-11,1.577212000983058e-05,-1.929553537655252e-11,1.653613708995158e-05,-1.986143643445134e-11,1.503909438036727e-05,-2.043733612051264e-11,1.349623787150892e-05,-2.100982342487164e-11,1.17435857634715e-05,-2.157255096936513e-11,1.339812016015126e-05,-2.209896043646215e-11,1.485608563422624e-05,-2.259033024612598e-11,1.622141510883775e-05,-2.303437509838516e-11,1.752121112918472e-05,-2.342290700328021e-11,1.875567867011931e-05,-2.375307024943495e-11
3.983950654629921e-05,-1.509850334794464e-11,3.988931197618004e-05,-1.524641293895813e-11,3.824095768805443e-05,-1.545611325066086e-11,3.56237591718961e-05,-1.57402088977114e-11,3.265472161762423e-05,-1.610194529893215e-11,2.98495930818905e-05,-1.653485039540425e-11,2.496885064855642e-05,-1.703238343588277e-11,2.072927248628444e-05,-1.75746360821623e-11,1.684843629838938e-05,-1.814689401317074e-11,1.8158384497877e-05,-1.871241412707434e-11,2.197747110654461e-05,-1.926473840834089e-11,2.340236862750536e-05,-1.982772488692355e-11,2.067802505687593e-05,-2.041086371295853e-11,1.805267237822472e-05,-2.098986016215195e-11,1.523830831066623e-05,-2.15585051513772e-11,1.797358644156792e-05,-2.208197640565969e-11,2.052274086185707e-05,-2.257102685753001e-11,2.306429180274288e-05,-2.301303045827023e-11,2.565752809486879e-05,-2.339962224514117e-11,2.829976776947254e-05,-2.372788305943695e-11
4.98395065462992e-05,-1.513405424004241e-11,4.988931197618004e-05,-1.527275452711562e-11,4.824095768805443e-05,-1.547200824550654e-11,4.56237591718961e-05,-1.574481700889176e-11,4.265472161762423e-05,-1.609493486832328e-11,3.984959308189049e-05,-1.651651639967314e-11,3.496885064855642e-05,-1.700343278955331e-11,3.072927248628443e-05,-1.753672440390123e-11,2.336233720015325e-05,-1.811762850168995e-11,2.571472622177638e-05,-1.867549199354689e-11,3.197747110654461e-05,-1.921440939993334e-11,3.340236862750536e-05,-1.97776247294835e-11,3.067802505687593e-05,-2.036284750390664e-11,2.554068482691708e-05,-2.095644117633954e-11,2.055618095953452e-05,-2.153688543960614e-11,2.554471390151822e-05,-2.205317520199105e-11,3.052274086185707e-05,-2.253574084101019e-11,3.306429180274288e-05,-2.298061202926513e-11,3.565752809486879e-05,-2.336981384870935e-11,3.829976776947254e-05,-2.370035387076283e-11
