/I1/IN (VY=-0.1) X,/I1/IN (VY=-0.1) Y,/I1/IN (VY=-0.08947368) X,/I1/IN (VY=-0.08947368) Y,/I1/IN (VY=-0.06842105) X,/I1/IN (VY=-0.06842105) Y,/I1/IN (VY=-0.05789474) X,/I1/IN (VY=-0.05789474) Y,/I1/IN (VY=-0.04736842) X,/I1/IN (VY=-0.04736842) Y,/I1/IN (VY=-0.03684211) X,/I1/IN (VY=-0.03684211) Y,/I1/IN (VY=-0.02631579) X,/I1/IN (VY=-0.02631579) Y,/I1/IN (VY=-0.01578947) X,/I1/IN (VY=-0.01578947) Y,/I1/IN (VY=-0.005263158) X,/I1/IN (VY=-0.005263158) Y,/I1/IN (VY=0.005263158) X,/I1/IN (VY=0.005263158) Y,/I1/IN (VY=0.01578947) X,/I1/IN (VY=0.01578947) Y,/I1/IN (VY=0.02631579) X,/I1/IN (VY=0.02631579) Y,/I1/IN (VY=0.03684211) X,/I1/IN (VY=0.03684211) Y,/I1/IN (VY=0.04736842) X,/I1/IN (VY=0.04736842) Y,/I1/IN (VY=0.05789474) X,/I1/IN (VY=0.05789474) Y,/I1/IN (VY=0.06842105) X,/I1/IN (VY=0.06842105) Y,/I1/IN (VY=0.07894737) X,/I1/IN (VY=0.07894737) Y,/I1/IN (VY=0.08947368) X,/I1/IN (VY=0.08947368) Y,/I1/IN (VY=0.1) X,/I1/IN (VY=0.1) Y,/I1/IN (VY=-0.07894737) X,/I1/IN (VY=-0.07894737) Y
0,-3.183491017923351e-12,0,-2.744036208423876e-12,0,-2.008143377742475e-12,0,-1.817562062641828e-12,0,-1.824788617595153e-12,0,-2.086677541090895e-12,0,-2.652882820067831e-12,0,-3.51613369116017e-12,0,-4.696032377217154e-12,0,-6.260721553274513e-12,0,-8.328099667718634e-12,0,-1.10402636873176e-11,0,-1.453185133669542e-11,0,-1.891868405474199e-11,0,-2.418044598960753e-11,0,-3.00883578603441e-11,0,-3.623652753318738e-11,0,-4.217642886100351e-11,0,-4.756778693318023e-11,0,-2.336075271139789e-12
1e-06,-3.182650766032857e-12,1e-06,-2.743071837686314e-12,1e-06,-2.006885471159137e-12,1e-06,-1.816130458022817e-12,1e-06,-1.823163965061195e-12,1e-06,-2.084844240620747e-12,1e-06,-2.650839798182572e-12,1e-06,-3.513907658890022e-12,1e-06,-4.693667316889077e-12,1e-06,-6.258282693164832e-12,1e-06,-8.325672536002773e-12,1e-06,-1.103795566278421e-11,1e-06,-1.452978527532929e-11,1e-06,-1.891698415400019e-11,1e-06,-2.417920901928538e-11,1e-06,-3.008762036271123e-11,1e-06,-3.623625326614462e-11,1e-06,-4.217652796820227e-11,1e-06,-4.756815886667751e-11,1e-06,-2.334972371191821e-12
1.985520609582194e-06,-3.18003380472366e-12,1.98546395192058e-06,-2.740031051288172e-12,1.985346738017793e-06,-2.002811358681109e-12,1.985289322490151e-06,-1.811427771861341e-12,1.985234211966062e-06,-1.817752195980419e-12,1.985182067463645e-06,-2.078657248150579e-12,1.985133374945813e-06,-2.643867733754214e-12,1.985088579086902e-06,-3.506250439476453e-12,1.985047912352159e-06,-4.685486436564887e-12,1.985011173606227e-06,-6.249819583270978e-12,1.984977882021708e-06,-8.317244404201605e-12,1.984947294260824e-06,-1.102995833126749e-11,1.984918796535977e-06,-1.452266525504134e-11,1.984891999411216e-06,-1.891118388585729e-11,1.984866729751202e-06,-2.417506201739049e-11,1.984843025844346e-06,-3.008523812670056e-11,1.984821075018508e-06,-3.623548950875578e-11,1.984801133654835e-06,-4.217705396955818e-11,1.984783445296091e-06,-4.756962336116376e-11,1.985405427679972e-06,-2.331449072367953e-12
3.023469722240474e-06,-3.175647047452783e-12,3.023396480508696e-06,-2.73489634226719e-12,3.023244955035305e-06,-1.99582379487295e-12,3.023170731356241e-06,-1.803297195290603e-12,3.023099486763598e-06,-1.808322492623942e-12,3.023032075891623e-06,-2.067798879717565e-12,3.02296912709112e-06,-2.631556801812353e-12,3.022911215349496e-06,-3.492671482832925e-12,3.022858641316965e-06,-4.670934350455704e-12,3.022811145076096e-06,-6.234737108042005e-12,3.022768105099618e-06,-8.302213769146483e-12,3.022728560456931e-06,-1.101570407059923e-11,3.022691717676875e-06,-1.450999942572917e-11,3.022657073320824e-06,-1.890090434824474e-11,3.022624403582314e-06,-2.41677620243049e-11,3.022593757988294e-06,-3.008110559052295e-11,3.022565378752208e-06,-3.623424922975913e-11,3.022539597365357e-06,-4.217810845723815e-11,3.022516728723064e-06,-4.757234788328494e-11,3.023320825080432e-06,-2.325453923133262e-12
5.043218714047584e-06,-3.161154784025121e-12,5.099261537684929e-06,-2.717050744355967e-12,5.055208193940996e-06,-1.971246105647172e-12,4.868612776105787e-06,-1.777421927744863e-12,4.676263822242555e-06,-1.781710565852823e-12,4.463737678886341e-06,-2.041627191880551e-12,4.371307149660064e-06,-2.603952102176899e-12,4.59262586271282e-06,-3.455526617193298e-12,4.758156234643898e-06,-4.625418639155228e-12,4.750963535499418e-06,-6.187599355634053e-12,4.76043501131138e-06,-8.254772698057624e-12,4.78788409490014e-06,-1.096973412059096e-11,4.835222786621642e-06,-1.446772009959825e-11,4.847306426165639e-06,-1.886632056007366e-11,4.726587693140998e-06,-2.414534798032654e-11,4.598169629313421e-06,-3.006971035177568e-11,4.459832262945299e-06,-3.623130234544382e-11,4.308014603499972e-06,-4.218048888706721e-11,4.380041290356133e-06,-4.75787486773303e-11,5.099151619881352e-06,-2.304221837059862e-12
7.468743440754212e-06,-3.137767035217567e-12,7.49642980836788e-06,-2.688800387993956e-12,7.294653615131724e-06,-1.932550551247416e-12,6.959923385968775e-06,-1.734656245990289e-12,6.604543077745776e-06,-1.735709273905921e-12,6.053391680329669e-06,-1.998856822452926e-12,5.817431897954765e-06,-2.560058773537102e-12,6.337620210050779e-06,-3.392495203415896e-12,6.530078738638994e-06,-4.553951571947778e-12,6.513209129398755e-06,-6.113312591018091e-12,6.53634722271645e-06,-8.179443784465141e-12,6.602664124867338e-06,-1.089584364630344e-11,6.717217312694409e-06,-1.439850665085267e-11,6.810196783497056e-06,-1.880698978438942e-11,6.714462146861037e-06,-2.410310241849145e-11,6.384106333168518e-06,-3.004877245049654e-11,6.037551139164367e-06,-3.622579387065933e-11,5.667219016528297e-06,-4.218396015600513e-11,5.848930119500511e-06,-4.758896130451677e-11,7.431337781176983e-06,-2.270838401800775e-12
1.027354274330486e-05,-3.10931409501942e-12,1.02323358643596e-05,-2.65430271363844e-12,9.691642132052493e-06,-1.886327141664246e-12,9.137534671971598e-06,-1.683356881224589e-12,8.604449737432345e-06,-1.678977853413739e-12,7.870039169629582e-06,-1.93881571173301e-12,7.492530845310961e-06,-2.496479451595694e-12,8.140283767588339e-06,-3.31193007624086e-12,8.360609576977277e-06,-4.463329921185915e-12,8.338076190273458e-06,-6.018309482371639e-12,8.379556768674173e-06,-8.082409726057323e-12,8.496533337381325e-06,-1.079970184623981e-11,8.69870524780048e-06,-1.430715137246405e-11,8.911840533199183e-06,-1.87263442239924e-11,8.936273349006277e-06,-2.404126470336473e-11,8.541042052500085e-06,-3.001415469951421e-11,7.898640173162801e-06,-3.621569739691092e-11,7.231624336740403e-06,-4.218799881223674e-11,7.573726260913352e-06,-4.76032960191693e-11,1.005747802897868e-05,-2.229826594161046e-12
1.4112239591971e-05,-3.072745331477878e-12,1.373809262960982e-05,-2.612198385946802e-12,1.243047683719686e-05,-1.834349326659469e-12,1.152480077815689e-05,-1.626647557932517e-12,1.072539799443718e-05,-1.616665414200631e-12,9.783281609988959e-06,-1.87085208639283e-12,9.290290600260863e-06,-2.421413014909102e-12,9.998964152585459e-06,-3.222388243651731e-12,1.028052067810137e-05,-4.3612886669022e-12,1.032219478174445e-05,-5.90676067558299e-12,1.048881706812001e-05,-7.961952702463133e-12,1.081375415995723e-05,-1.067159447402993e-11,1.116192477231077e-05,-1.418290088806013e-11,1.156145480615286e-05,-1.861403153913556e-11,1.175757097074298e-05,-2.395234150302374e-11,1.141578957062731e-05,-2.995902316053062e-11,1.041026611930797e-05,-3.619694494563163e-11,9.270342802404468e-06,-4.219176971582217e-11,9.898640654888168e-06,-4.762319501522861e-11,1.318343492805463e-05,-2.182617106092029e-12
1.898960339955136e-05,-3.028672356301253e-12,1.837304389370906e-05,-2.559314215324242e-12,1.585358322596596e-05,-1.772454781158819e-12,1.43609625779277e-05,-1.561964554135654e-12,1.314248788857347e-05,-1.547575150979179e-12,1.186300095860532e-05,-1.797342634272793e-12,1.121184799330969e-05,-2.340141145466041e-12,1.201347879504913e-05,-3.125237714784128e-12,1.236650770145076e-05,-4.250430283791319e-12,1.250223884916039e-05,-5.783684721285551e-12,1.28551483333951e-05,-7.825781141454458e-12,1.349723900299561e-05,-1.052162664504364e-11,1.427836470610027e-05,-1.402338000206168e-11,1.496393483571265e-05,-1.846664450753259e-11,1.539196604682499e-05,-2.383361260662258e-11,1.521945685028764e-05,-2.988086218511037e-11,1.365789239806173e-05,-3.616825204240827e-11,1.193128481868208e-05,-4.219409387741175e-11,1.290330178412403e-05,-4.764798227985258e-11,1.730353712201215e-05,-2.123465304323961e-12
2.559038343100522e-05,-2.969164680702593e-12,2.415288177534123e-05,-2.49384337369568e-12,2.008906995695113e-05,-1.697686771952665e-12,1.802070248257265e-05,-1.481170899316907e-12,1.619716473860544e-05,-1.463321852781708e-12,1.434614892974236e-05,-1.712271150416951e-12,1.343498110392731e-05,-2.248251625904362e-12,1.4380033196217e-05,-3.014010797687338e-12,1.483902221751882e-05,-4.122232974156651e-12,1.510125273103351e-05,-5.640140816871622e-12,1.572268829897902e-05,-7.663866285551177e-12,1.684834019828242e-05,-1.033718077225898e-11,1.839999159178878e-05,-1.381464210755071e-11,1.951313271189388e-05,-1.82707720427754e-11,2.031268188718452e-05,-2.36731370082207e-11,2.036892062306717e-05,-2.977435588504346e-11,1.838793749313155e-05,-3.612468272018916e-11,1.561218582104431e-05,-4.219525752326104e-11,1.723039636772022e-05,-4.76831256609806e-11,2.227637180689798e-05,-2.053111285035411e-12
